jeremić,a	jer,emi,ća
sud,ovi	sud,ovi
predstavnik,a	pred,stav,nika
načelnik,a	nač,eln,ika
odbor,u	od,boru
pol,ova	pol,ova
pun,u	p,unu
ustav,a	ust,ava
jednak,a	jed,n,aka
vlast,i	v,last,i
suverenitet,a	su,ver,en,iteta
princip,a	pr,incip,a
bezbednost,i	bez,bed,nosti
rat,om	rat,om
stanje,m	stan,jem
opasnost,i	op,as,nosti
niko,me	nik,ome
zakon,i	zak,oni
zakon,ima	z,akon,ima
usvojen,im	us,vo,jen,im
slučaj,evima	sl,uč,aje,v,ima
suprotnost,i	sup,ro,tn,osti
yok,-a	y,ok,-a
sud,ova	sud,ova
vojni,h	voj,nih
zakon,u	z,akon,u
poslanik,a	pos,lan,ika
paket,u	pak,etu
njihov,o	njih,ovo
k,a	ka
standard,a	stand,arda
propis,ima	pro,pis,ima
džemil,a	d,ž,em,ila
čiček,a	č,ič,eka
sklad,u	sk,lad,u
sistem,om	s,istem,om
mesec,a	mese,ca
oblast,i	oblast,i
visok,i	vis,oki
april,a	ap,r,ila
izgled,e	iz,gle,de
razgovor,a	raz,gov,ora
hrvatski,m	hr,v,ats,kim
šef,om	š,ef,om
gordan,om	g,ordan,om
jandroković,em	j,andro,ković,em
jun,a	j,una
pregovor,e	pre,gov,ore
jesen,i	jes,eni
međuvreme,nu	me,đ,uvre,menu
koji,h	koj,ih
zagreb,u	z,ag,re,bu
razgovor,i	raz,gov,ori
jul,a	j,ula
sve,mu	sv,emu
pregovor,i	pre,gov,ori
pristup,u	pr,ist,upu
korak,e	kor,ake
neki,m	nek,im
jun,u	j,unu
poziv,u	poz,ivu
saobraćaj,a	sa,obra,ć,aja
razlog,a	raz,loga
brisel,u	b,ris,elu
postavljen,e	post,avlj,ene
cilj,eve	cil,jeve
zagreb,a	z,ag,re,ba
velik,e	vel,ike
premijer,om	pre,m,ijer,om
ivo,m	i,vom
sanader,om	san,ader,om
uslov,om	us,lov,om
razgovor,u	raz,gov,oru
ren,om	ren,om
kriterijum,a	k,riter,ij,uma
poziv,a	poz,iva
spor,u	sp,oru
samit,a	sam,ita
makedonski,m	m,aked,ons,kim
branko,m	bran,kom
crvenkovski,m	cr,ven,kov,skim
gruevski,m	gr,ue,v,skim
sekretar,om	sek,ret,ar,om
nato,-om	na,to,-,om
jap,om	j,ap,om
hop,om	h,op,om
shefer,om	she,fer,om
pomenut,i	p,omen,uti
nepromenjen,i	ne,prom,en,jeni
domen,u	d,omen,u
sekretar,a	sek,ret,ara
lider,ima	lider,ima
izaslanik,om	izas,lan,ikom
un,-a	un,-a
metju,om	met,ju,om
nimic,om	n,im,icom
vođa,ma	vo,đ,ama
nimicov,ih	n,im,ic,ov,ih
predlog,a	pred,loga
prevremen,e	prev,rem,ene
izbor,e	iz,b,ore
vikend,a	vik,enda
makedonski,h	m,aked,ons,kih
spor,a	sp,ora
okrilje,m	ok,ril,jem
obostran,o	ob,ost,rano
prihvatljiv,o	pri,h,vat,lj,ivo
osumnjičen,ih	os,umn,ji,čen,ih
sukob,e	s,uk,obe
napad,om	nap,ad,om
unutrašnji,h	unut,ra,šnjih
osumnjičen,e	os,umn,ji,č,ene
neidentifikovan,a	ne,ident,ifik,ov,ana
povezanost,i	p,ove,zan,osti
teroristički,m	ter,or,istič,kim
akcija,ma	ak,c,ijama
sarajevski,m	s,ar,aje,v,skim
kvart,ovima	kv,art,ovima
eksploziv,a	eks,pl,oz,iva
mart,u	m,artu
hapšenje,m	h,ap,šen,jem
dokaz,a	d,ok,aza
martovski,m	mart,ov,skim
uređaj,e	ure,đ,aje
crtež,e	cr,te,že
priručnik,e	pr,iru,č,nike
uređaj,a	ure,đ,aja
detonator,e	det,on,atore
osumnjičen,i	os,umn,ji,č,eni
povezan,i	p,ove,z,ani
pokret,om	pok,ret,om
navodni,h	nav,od,nih
mirsad,om	m,irs,ad,om
bektašević,em	b,ek,ta,šević,em
teroristički,h	ter,or,istič,kih
vatren,og	vat,ren,og
jusuf,a	j,us,uf,a
barčić,a	bar,či,ća
ko,ga	k,oga
katolički,h	kat,oli,čkih
razvoj,u	raz,vo,ju
izvoznik,e	iz,vo,zn,ike
kilometar,a	kil,omet,ara
koman,a	kom,ana
problem,u	pro,ble,mu
deklarisan,u	dek,lar,isan,u
kosovski,h	kos,ov,skih
izvoznik,a	iz,vo,zn,ika
izvoz,a	iz,vo,za
proizvod,i	pro,iz,v,odi
skup,lji	sku,pl,ji
direktor,a	dire,kt,ora
nedeklarisan,a	ned,ek,lar,is,ana
sumnjiv,a	s,umn,j,iva
potpun,o	pot,p,uno
carinski,h	car,ins,kih
proizvod,e	pro,iz,v,ode
njihov,om	njih,ov,om
reciprocitet,a	rec,ip,roc,iteta
reciprocitet,om	rec,ip,roc,itet,om
pomoć,i	p,omo,ći
grčki,h	gr,čkih
brod,ovima	b,rod,ovima
aktivist,a	aktiv,ista
velik,im	vel,ik,im
korak,om	kor,ak,om
kapetan,a	kapet,ana
brod,ova	b,rod,ova
nov,u	nov,u
osnov,u	os,nov,u
život,e	živ,ote
putnik,a	put,nika
novinar,a	nov,in,ara
pritvor,u	prit,vor,u
konvoj,a	kon,voja
maj,u	ma,ju
turski,h	t,urs,kih
grčki,m	gr,č,kim
stran,im	st,ran,im
zastava,ma	z,ast,av,ama
protest,e	pro,test,e
propalestinski,h	prop,al,est,ins,kih
izrael,a	iz,ra,ela
problem,e	pro,ble,me
film,ova	film,ova
džejms,om	d,ž,ej,ms,om
bond,om	b,ond,om
izrael,om	iz,rael,om
odnos,a	od,n,osa
damask,a	dam,aska
norma,ma	norm,ama
bliskoistočni,h	bl,isko,isto,čnih
mirovni,h	mi,rov,nih
posrednik,a	pos,red,nika
kanal,a	kan,ala
uspostavljen,m	us,post,avljen,m
kopnen,im	kop,nen,im
prelaz,ima	pre,l,az,ima
kompromis,a	kom,prom,isa
korišćenje,m	kori,š,ćen,jem
postojeći,h	post,oje,ć,ih
prihvatljiv,i	pri,h,vat,lj,ivi
izrael,u	iz,rael,u
jul,u	j,ulu
dvostruk,i	dv,ost,ru,ki
proces,u	pro,ces,u
dan,a	d,ana
naš,e	na,še
prijem,u	p,rij,emu
član,ove	č,lan,ove
kor,a	k,ora
jak,om	jak,om
vest,i	vest,i
brisel,a	b,ris,ela
zelen,o	z,elen,o
promena,ma	prom,en,ama
reformski,h	reform,skih
članica,ma	č,lan,ic,ama
lider,i	lider,i
jedinstven,o	jed,inst,veno
porast,u	por,astu
pregovarački,h	pre,gov,ara,čkih
poen,a	po,ena
pokušaj,a	p,oku,š,aja
predstojeći,m	pred,sto,je,ć,im
forum,a	for,uma
unesko,-a	un,es,ko,-a
pokrovitelj,i	pok,rov,itel,ji
avgust,a	avg,usta
grad,u	grad,u
ohrid,u	o,hr,idu
savest,i	s,av,esti
predsednik,e	pred,sed,nike
nevladin,ih	nev,lad,ini,h
ekspert,ima	eks,pert,ima
jednakost,i	jed,nak,osti
ljudski,h	l,jud,skih
radni,h	rad,nih
skup,u	sk,upu
demokratski,h	dem,ok,rats,kih
cilj,eva	cil,jeva
pun,og	pun,og
različit,ih	raz,lič,it,ih
etnički,h	et,nič,kih
pripadnost,i	p,rip,ad,nosti
civilizovan,u	c,ivil,iz,ovan,u
održiv,a	od,rž,iva
april,u	ap,ril,u
visok,ih	vis,ok,ih
zvaničnik,a	z,van,ič,nika
nivo,u	n,iv,ou
naš,im	na,š,im
oslabljen,u	osl,abl,j,enu
profesor,ima	prof,esor,ima
studentski,m	students,kim
kampus,e	kamp,use
protest,a	pro,test,a
osiguran,u	os,ig,uran,u
bulevar,om	b,ule,var,om
ratifikovan,og	rat,ifik,ovan,og
univerzitet,ima	un,iverz,itet,ima
škola,ma	š,kol,ama
stepen,a	step,ena
sistem,u	s,istem,u
visok,og	vis,ok,og
velik,u	vel,iku
status,a	status,a
azil,a	az,ila
nezabeležen,a	nez,abele,žena
glas,ovima	glas,ovima
konsenzus,u	k,ons,enz,usu
moguć,ih	m,oguć,ih
naslednik,a	nas,led,nika
jorgos,a	j,org,osa
papandreu,a	pap,andre,ua
istorijski,m	istor,ij,skim
osnažen,a	os,na,žena
vođstvo,m	vo,đ,stvom
skori,jim	sk,or,ij,im
neuspeh,om	ne,us,pe,hom
mesec,ima	mese,c,ima
nekompetentnost,i	ne,kom,pet,ent,nosti
neefektivnost,i	ne,ef,ekt,iv,nosti
širok,om	š,iro,kom
obrazovni,h	ob,raz,ovnih
akademski,h	ak,adem,skih
protest,i	pro,test,i
povezan,e	p,ove,z,ane
levičarski,m	le,vič,ars,kim
stranka,ma	st,rank,ama
mlad,ih	ml,adi,h
rektor,a	rekt,ora
otvoren,i	ot,vor,eni
aristotelov,og	ar,ist,otel,ov,og
univerzitet,a	un,iverz,iteta
solun,u	sol,unu
prav,o	p,ravo
prolongiran,o	pro,long,irano
univerzitet,i	un,iverz,itet,i
garantor,i	gar,ant,ori
legalitet,a	legal,iteta
ustavnost,i	ust,av,nosti
urban,i	urban,i
britanski,h	b,rit,anskih
diplomac,a	di,pl,om,aca
setimes,u	set,imes,u
predavački,h	pred,ava,čkih
london,a	l,ond,ona
univerzitetski,h	un,iverz,itet,skih
sistem,e	s,ist,eme
razborit,a	raz,bor,ita
zdrav,og	zd,rav,og
razum,a	raz,uma
ran,ih	ran,ih
osamdeseti,h	os,am,des,et,ih
novoizabran,a	n,ovo,iz,ab,rana
glasački,h	gl,asa,čkih
listić,a	list,i,ća
povezan,ih	p,ove,zan,ih
izbor,u	iz,boru
studentski,h	students,kih
obavezan,o	ob,avez,ano
vreme,na	vre,mena
udžbenik,a	ud,ž,ben,ika
internet,u	intern,etu
spojen,e	sp,oj,ene
faza,ma	f,az,ama
narkotik,a	n,ark,ot,ika
balkan,u	b,alk,anu
pokušaj,u	p,oku,š,aju
krijumčar,ima	k,rij,um,čar,ima
dolar,a	d,ol,ara
krijumčar,a	k,rij,um,č,ara
analitičar,i	anal,iti,č,ari
naj,nov,ija	naj,nov,ija
zdravstven,e	zd,rav,st,vene
krijumčar,i	k,rij,um,č,ari
sporazum,e	spor,az,ume
izveštaj,u	iz,ve,šta,ju
put,eve	put,eve
podatak,a	pod,ataka
američki,h	amer,ič,kih
avganistanski,h	av,gan,ist,anskih
izvor,a	iz,vora
predložen,i	pred,lož,eni
januar,a	jan,u,ara
albanski,m	al,b,ansk,im
vlast,ima	v,last,ima
heroin,a	hero,ina
prvi,h	pr,vih
promet,a	prom,eta
poznat,i	pozn,ati
mediteranski,m	med,iter,ansk,im
promet,om	prom,et,om
izveštaj,ima	iz,ve,šta,jima
granica,ma	gr,anic,ama
svoj,u	s,vo,ju
ivanov,u	ivan,ovu
sopstven,u	s,op,st,venu
tranzit,a	tr,anz,ita
evropski,m	ev,rops,kim
partnerski,h	part,ners,kih
određen,a	od,re,đena
napad,a	nap,ada
aktivist,i	aktiv,isti
nevladin,e	nev,lad,ine
star,u	star,u
rad,om	rad,om
planiran,og	plan,iran,og
metar,a	met,ara
volonter,i	vol,on,teri
dug,a	du,ga
starost,i	star,osti
koji,m	koj,im
aliani,ja	al,ian,ija
aliani,ju	al,ian,iju
grad,a	gr,ada
savet,u	s,av,etu
unesko,-u	un,es,ko,-u
abdulah,u	abd,ul,ahu
gul,u	g,ulu
njegov,ih	nj,eg,ov,ih
rimski,h	rim,skih
čvrst,u	č,vr,stu
predviđen,om	pred,vi,đen,om
plan,u	plan,u
otkriven,ih	ot,kr,iven,ih
komad,i	kom,adi
metal,i	met,ali
staklen,i	st,ak,len,i
artefakt,i	arte,f,ak,ti
period,a	period,a
objekat,a	obj,ek,ata
izvor,ima	iz,vor,ima
potapanje,m	pot,apan,jem
turist,a	tur,ista
bog,a	b,oga
vek,u	ve,ku
imperator,a	imper,atora
hadrijan,a	had,rij,ana
lekovit,og	le,kov,it,og
izvorski,m	iz,v,ors,kim
voda,ma	vod,ama
lekovit,om	le,kov,it,om
stepen,i	step,eni
celzijus,a	cel,zij,usa
ukrašen,e	uk,raš,ene
čist,im	č,ist,im
mermerni,m	m,erm,ern,im
kamen,om	k,amen,om
zaštićen,im	za,šti,ćen,im
trg,ovi	tr,g,ovi
slučaj,evi	sl,uč,aje,vi
važnost,i	važ,nosti
običaj,i	ob,ič,aji
pripadnik,a	p,rip,ad,nika
brz,a	br,za
različit,i	raz,lič,iti
javnost,i	jav,nosti
slučaj,eva	sl,uč,aje,va
tužen,e	tu,ž,ene
strah,a	stra,ha
maltretiranje,m	m,alt,ret,iran,jem
pošten,a	po,šten,a
rom,a	roma
ljudski,m	l,jud,skim
žrtva,ma	ž,rt,v,ama
sektor,u	se,ktor,u
ombudsman,om	omb,uds,man,om
telesni,h	t,eles,nih
grub,o	gr,ubo
potpun,og	pot,pun,og
ombudsman,a	omb,uds,mana
iđet,a	i,đ,eta
memeti,ja	mem,et,ija
delevoa,a	de,le,vo,aa
kazneni,h	kaz,nen,ih
tok,u	to,ku
policajac,a	p,olic,aj,aca
navrat,a	nav,rata
prekid,a	pre,k,ida
posmatrač,a	pos,mat,ra,ča
izbeglica,ma	iz,beg,lic,ama
tbilisi,ja	t,b,ilis,ija
posmatrač,e	pos,mat,ra,če
odmetnut,u	od,met,nut,u
čas,a	č,asa
sukob,a	s,uk,oba
šef,ovi	š,ef,ovi
uobičajen,e	u,ob,ičaj,ene
rus,i	r,usi
položaj,e	p,olo,ž,aje
odmetnut,oj	od,met,nut,oj
velik,om	vel,ikom
sam,u	sam,u
sam,e	same
prizor,i	p,riz,ori
ruski,h	rus,kih
tenk,ova	ten,k,ova
oebs,-a	oe,bs,-a
teren,u	ter,enu
ko,me	k,ome
moguć,oj	m,oguć,oj
šef,ova	š,ef,ova
avinjon,u	a,vin,jon,u
istočnoevropski,h	isto,čno,ev,rops,kih
njen,ih	n,jenih
implikacija,ma	impl,ik,acij,ama
savez,a	save,za
plan,a	pl,ana
napad,e	nap,ade
siromaštvo,m	si,roma,št,vom
grk,a	gr,ka
vest,ima	vest,ima
nivo,a	n,ivo,a
slom,a	sl,oma
kontinent,u	kont,inent,u
uticaj,u	ut,ic,aju
rumun,a	r,um,una
njihov,a	njih,ova
ispitanik,a	isp,itan,ika
smer,a	s,mera
bazel,a	b,az,ela
farmaceutski,h	f,arm,aceut,skih
proizvod,a	pro,iz,v,oda
zemun,u	z,em,unu
projekt,u	pro,jekt,u
forum,u	for,umu
margina,ma	margin,ama
savet,a	s,av,eta
gas,a	g,asa
basen,a	bas,ena
detalj,e	det,al,je
centar,a	cent,ara
efikasnost,i	ef,ikas,nosti
zaposlen,e	z,ap,osl,ene
industrijski,m	indust,rij,skim
sektor,ima	se,ktor,ima
profit,a	prof,ita
porez,i	p,ore,zi
odmor,e	od,more
vladin,ih	v,lad,ini,h
vaterpolist,i	v,ater,pol,isti
neporažen,i	ne,pora,ž,eni
emanuil,a	e,man,u,ila
milonakis,a	m,ilon,ak,isa
peking,u	p,ek,ingu
gol,a	g,ola
stil,u	st,ilu
protivnik,a	prot,iv,nika
šeref,a	š,ere,fa
eroglu,a	e,ro,gl,ua
kilogram,a	kil,ogr,ama
čeh,a	č,e,ha
marek,a	m,are,ka
švec,a	š,ve,ca
ženski,m	ž,ensk,im
eliminacija,ma	elimin,acij,ama
nozadze,a	no,zad,zea
vreme,nom	vre,men,om
tenis,u	ten,isu
kong,a	k,onga
tvrd,oj	tv,rd,oj
gol,ova	gol,ova
teg,ova	teg,ova
muški,h	mu,ških
mešovit,im	me,š,ov,itim
stil,om	stil,om
takmičar,a	tak,mi,č,ara
rvač,i	r,va,či
meč,u	me,ču
slatkiš,a	sl,at,ki,ša
mraz,a	m,ra,za
pregled,u	pre,gle,du
sport,a	s,port,a
njegov,om	nj,eg,ov,om
film,u	fil,mu
mraz,om	m,raz,om
vilenjak,om	v,ilen,jak,om
svoj,a	s,voja
trg,a	tr,ga
karusel,a	kar,us,ela
velik,oj	vel,ik,oj
trg,u	tr,gu
klub,a	kl,uba
albanski,h	al,b,anskih
ličnost,i	lič,nosti
umetnost,i	um,et,nosti
orden,om	orden,om
majstor,a	maj,st,ora
fuad,a	fu,ada
muzurović,a	m,uz,uro,vi,ća
selektor,a	se,lekt,ora
blaž,a	b,la,ža
slišković,a	s,li,šk,ović,a
loš,eg	lo,š,eg
kvalifikacija,ma	k,val,ifik,acij,ama
savremen,e	s,av,rem,ene
rad,ova	rad,ova
slikar,a	s,lik,ara
tematski,h	tem,ats,kih
ciklus,a	c,ikl,usa
pariz,u	par,izu
kfor,-a	k,for,-a
srpski,m	sr,ps,kim
demonstrant,ima	dem,on,str,ant,ima
etnički,m	et,nič,kim
vojnik,e	voj,nike
podeljen,og	p,odel,jen,og
naseljen,ih	nas,el,jenih
sukob,i	s,uk,obi
izveštaj,a	iz,ve,šta,ja
granata,ma	gran,at,ama
unmik,-a	un,mi,k,-a
sever,u	sever,u
kfor,-u	k,for,-u
snaga,ma	sn,ag,ama
sud,a	s,uda
srpski,h	sr,ps,kih
demonstrant,i	dem,on,str,anti
razgovor,e	raz,gov,ore
kompleks,u	kom,ple,ks,u
nered,a	ner,eda
februar,a	f,ebru,ara
un,-u	un,-u
kosovski,m	kos,ov,skim
napet,a	nap,eta
pun,oj	pun,oj
pripadnik,e	p,rip,ad,nike
prepad,u	pre,p,adu
okupljen,e	oku,pl,jene
povređen,i	p,ovre,đeni
policijski,h	p,olic,ijskih
kompleks,a	kom,ple,ks,a
poljski,h	pol,j,skih
izvor,i	iz,v,ori
šef,a	š,efa
pokušaj,i	p,oku,š,aji
nadležnost,i	nad,le,ž,nosti
slobodan,om	sl,obod,an,om
samardžić,em	sam,ard,ži,ć,em
isključiv,u	isk,ljuč,ivu
napad,u	nap,adu
red,a	reda
mikalis,a	m,ikal,isa
krisohoides,a	k,ris,oho,ides,a
objekt,u	obj,ekt,u
saradnik,a	s,ar,ad,nika
sat,i	s,ati
sprat,u	spr,atu
slatkiš,ima	sl,at,ki,š,ima
uvijen,i	uv,ij,eni
ruka,ma	ruk,ama
dim,a	d,ima
vasilakisov,om	v,asil,akis,ov,om
prijatelj,a	p,rij,atel,ja
dragocen,og	drag,oc,en,og
incident,i	inc,ident,i
grad,ove	grad,ove
bbc,-u	bbc,-u
prst,om	pr,st,om
lista,ma	list,ama
terorist,a	ter,or,ista
moguć,eg	m,oguć,eg
militant,ima	mil,itant,ima
grk,e	gr,ke
norlmalnost,i	nor,l,mal,nosti
naš,oj	na,š,oj
sused,ima	s,used,ima
turist,e	tur,iste
netaknut,om	net,ak,nut,om
čist,om	č,ist,om
srednjovekovni,m	s,red,nj,ov,ek,ov,nim
ilirski,m	ilir,skim
ruševina,ma	ru,še,vin,ama
kampanja,ma	kamp,anj,ama
posvećivanje,m	pos,ve,ć,ivan,jem
prihod,a	pri,h,oda
napor,i	nap,ori
prihod,i	pri,h,odi
procvat,a	pro,cv,ata
sektor,a	se,kt,ora
finansijski,h	fin,ans,ijskih
poziv,e	poz,ive
njegov,u	nj,eg,ovu
parlament,a	par,l,ament,a
red,om	red,om
pad,a	p,ada
dostavljen,u	d,ost,avlj,enu
miroljubiv,om	mi,rol,jub,iv,om
miting,u	mit,ingu
đurčanj,a	đ,ur,č,anja
veče,ri	ve,č,eri
rojters,a	r,oj,ters,a
ulica,ma	ul,ic,ama
voden,e	vod,ene
top,ove	top,ove
demonstrant,e	dem,on,st,rante
fides,-a	f,id,es,-a
njihov,im	njih,ov,im
poziv,ima	poz,iv,ima
izbor,i	iz,b,ori
ekonomski,m	ek,onom,skim
program,u	program,u
novinar,e	nov,in,are
automobil,i	aut,om,obili
bdp,-a	b,dp,-a
porez,e	p,ore,ze
planiran,e	plan,ir,ane
zdravstven,om	zd,rav,st,ven,om
visok,om	vis,ok,om
sud,om	sud,om
zločin,e	z,lo,čine
nato,-u	na,to,-u
glavni,h	gl,av,nih
prioritet,a	p,rior,iteta
tribunal,om	t,rib,unal,om
mksj,-u	mk,s,j,-u
počinjen,e	po,čin,jene
devedeseti,h	de,ved,es,et,ih
njegov,i	nj,eg,ovi
hag,u	h,agu
visok,a	vis,oka
general,a	gener,ala
njihov,e	njih,ove
sukob,u	s,uk,obu
bosanski,h	bos,anskih
rim,u	r,imu
zid,a	z,ida
miloševićev,ih	m,ilo,še,vi,će,vih
sledbenik,a	sled,ben,ika
konsenzus,om	k,ons,enz,us,om
boris,a	bor,isa
tadić,a	t,adi,ća
vojislav,a	v,oj,islava
niš,u	n,iš,u
jug,u	jug,u
izveštaj,e	iz,ve,šta,je
tribunal,a	t,rib,un,ala
beograd,a	be,og,rada
mogućnost,i	m,oguć,nosti
dogovor,a	dog,ov,ora
srebrn,i	s,re,br,ni
predmet,i	pred,met,i
japan,u	japan,u
kup,a	k,upa
uzastopni,m	uz,ast,op,nim
izložba,ma	iz,lož,b,ama
zamenik,a	z,amen,ika
srebrn,ih	s,re,br,nih
antički,h	anti,čkih
predmet,a	pred,meta
predmet,e	pred,mete
pronađen,e	pr,ona,đ,ene
poslednji,h	pos,led,njih
svetski,h	sv,et,skih
šampion,a	š,ampion,a
četvorostruk,a	čet,vor,ost,ru,ka
problem,a	pro,ble,ma
koleno,m	kol,en,om
jirgen,a	j,ir,gen,a
melcer,a	mel,c,era
turnir,a	turn,ira
mec,u	m,ec,u
mons,u	m,ons,u
aleks,a	ale,ks,a
bogdanović,a	b,og,dan,ović,a
balkanski,h	b,alk,anskih
pisac,a	pis,aca
dobitnik,a	dob,it,nika
nobelov,e	n,obel,ove
andrić,a	and,ri,ća
travnik,u	t,rav,niku
čitanje,m	č,itan,jem
