mogul,u	mogu,lu
poduhvat,a	poduhvata
vojnik,a	vojnika
vojni,m	vojnim
misija,ma	misija,ma
Avganistan,u	Avganista,nu
Liban,u	Liba,nu
mirovni,m	miro,vnim
operacija,ma	operacijama
aranžman,a	aranžmana
potpunost,i	potpunosti
odgovornost,i	odgovornosti
štab,u	šta,bu
harmonizovan,e	harmoni,zovane
period,u	periodu
put,u	putu
tempo,m	tempom
preduslov,e	predu,slove
pregovor,a	pregovora
režim,a	režima
ostvarljiv,i	ostva,r,ljivi
sopstven,ih	sopstvenih
slabost,i	slabosti
sledeći,h	sledećih
pregovor,ima	pregovorima
kraj,a	kraja
sporazum,a	sporazuma
dijalog,a	dijaloga
slučaj,u	slučaju
vaš,e	vaše
značaj,a	značaja
region,om	regio,nom
nov,a	nova
sukob,ima	sukobima
posvećen,i	posvećeni
isti,m	istim
demokratski,m	demokratskim
vrednost,ima	vrednostima
amandman,a	amandmana
cilj,em	ciljem
standard,ima	standardima
maj,a	maja
amandman,e	amand,mane
prevrat,a	pre,vrata
okvir,u	okviru
sud,ovi	sudovi
predstavnik,a	predstavnika
načelnik,a	načelnika
odbor,u	odboru
pol,ova	polova
pun,u	punu
ustav,a	ustava
jednak,a	jednaka
vlast,i	vlasti
suverenitet,a	suvereniteta
princip,a	principa
bezbednost,i	bezbednosti
rat,om	ratom
stanje,m	stanjem
opasnost,i	opasnosti
niko,me	nikome
zakon,i	zakoni
zakon,ima	zakonima
usvojen,im	usvoje,nim
slučaj,evima	slučajevima
suprotnost,i	suprotnosti
YOK,-a	Y,OK,-,a
sud,ova	sudova
vojni,h	vojnih
zakon,u	zakonu
poslanik,a	poslanika
paket,u	paketu
njihov,o	njihovo
k,a	ka
standard,a	standarda
propis,ima	propisima
Džemil,a	Dže,mila
Čiček,a	Či,čeka
sklad,u	skladu
sistem,om	sistemom
mesec,a	meseca
oblast,i	oblasti
visok,i	visoki
april,a	aprila
izgled,e	izgle,de
razgovor,a	razgovora
hrvatski,m	hrvatskim
šef,om	šef,om
Gordan,om	Gor,da,nom
Jandroković,em	Ja,ndro,kovićem
jun,a	juna
pregovor,e	pregovore
jesen,i	jeseni
međuvreme,nu	međuvremenu
koji,h	kojih
Zagreb,u	Zagrebu
razgovor,i	razgovori
jul,a	jula
sve,mu	svemu
pregovor,i	pregovori
pristup,u	pristupu
korak,e	korake
neki,m	nekim
jun,u	junu
poziv,u	pozivu
saobraćaj,a	saobraćaja
razlog,a	razloga
Brisel,u	Briselu
postavljen,e	postavljene
cilj,eve	ciljeve
Zagreb,a	Zagreba
velik,e	velike
premijer,om	premijerom
Ivo,m	I,vom
Sanader,om	Sana,derom
uslov,om	uslovom
razgovor,u	razgovoru
Ren,om	Re,nom
kriterijum,a	kriterijuma
poziv,a	poziva
spor,u	sporu
samit,a	sami,ta
makedonski,m	makedo,nskim
Branko,m	Bran,kom
Crvenkovski,m	Cr,ven,kov,skim
Gruevski,m	Gru,ev,skim
sekretar,om	sekreta,rom
NATO,-om	NATO,-,om
Jap,om	Ja,pom
Hop,om	Ho,pom
Shefer,om	She,ferom
pomenut,i	pomenuti
nepromenjen,i	neprome,njeni
domen,u	domenu
sekretar,a	sekretara
lider,ima	liderima
izaslanik,om	izasla,nikom
UN,-a	UN,-,a
Metju,om	Met,ju,om
Nimic,om	Ni,mi,com
vođa,ma	vođa,ma
Nimicov,ih	Ni,mi,co,vih
predlog,a	predloga
prevremen,e	pre,vremene
izbor,e	izbore
vikend,a	vikenda
makedonski,h	makedo,nskih
spor,a	spora
okrilje,m	okriljem
obostran,o	obostrano
prihvatljiv,o	prihvatljivo
osumnjičen,ih	osumnji,čenih
sukob,e	sukobe
napad,om	napadom
unutrašnji,h	unutrašnjih
osumnjičen,e	osumnji,čene
neidentifikovan,a	nei,denti,fikovana
povezanost,i	povezanosti
teroristički,m	teroristi,čkim
akcija,ma	akcijama
sarajevski,m	saraje,vskim
kvart,ovima	kvar,tovima
eksploziv,a	eksplo,ziva
mart,u	martu
hapšenje,m	hap,šenjem
dokaz,a	dokaza
martovski,m	mar,tov,skim
uređaj,e	uređaje
crtež,e	crteže
priručnik,e	priruč,nike
uređaj,a	uređaja
detonator,e	de,tona,tore
osumnjičen,i	osumnjičeni
povezan,i	povezani
pokret,om	pokretom
navodni,h	navod,nih
Mirsad,om	Mirsa,dom
Bektašević,em	Bek,ta,ševi,ćem
teroristički,h	terorističkih
vatren,og	vatrenog
Jusuf,a	Ju,su,fa
Barčić,a	Bar,čića
ko,ga	koga
katolički,h	katoli,čkih
razvoj,u	razvoju
izvoznik,e	izvoz,nike
kilometar,a	kilometara
Koman,a	Ko,mana
problem,u	problemu
deklarisan,u	dekla,risa,nu
kosovski,h	kosov,skih
izvoznik,a	izvoz,nika
izvoz,a	izvoza
proizvod,i	proizvodi
skup,lji	skuplji
direktor,a	direktora
nedeklarisan,a	nede,kla,risana
sumnjiv,a	sumnji,va
potpun,o	potpuno
carinski,h	cari,nskih
proizvod,e	proizvode
njihov,om	njihovom
reciprocitet,a	recipro,ci,teta
reciprocitet,om	recipro,ci,tetom
pomoć,i	pomoći
grčki,h	grčkih
brod,ovima	brodovima
aktivist,a	aktivista
velik,im	velikim
korak,om	korakom
kapetan,a	kapetana
brod,ova	brodova
nov,u	novu
osnov,u	osnovu
život,e	živote
putnik,a	putnika
novinar,a	novinara
pritvor,u	pritvoru
konvoj,a	kon,voja
maj,u	maju
turski,h	turskih
grčki,m	gr,čkim
stran,im	stranim
zastava,ma	zastava,ma
protest,e	prote,ste
propalestinski,h	propa,le,sti,nskih
Izrael,a	Izraela
problem,e	probleme
film,ova	filmova
Džejms,om	Džej,m,som
Bond,om	Bon,dom
Izrael,om	Izra,elom
odnos,a	odnosa
Damask,a	Dama,ska
norma,ma	normama
bliskoistočni,h	blisko,isto,čnih
mirovni,h	miro,vnih
posrednik,a	posrednika
kanal,a	kanala
uspostavljen,m	uspostavljen,m
kopnen,im	kopne,nim
prelaz,ima	prelazi,ma
kompromis,a	kompromisa
korišćenje,m	korišćenjem
postojeći,h	postojećih
prihvatljiv,i	prihvatljivi
Izrael,u	Izraelu
jul,u	julu
dvostruk,i	dvostruki
proces,u	procesu
dan,a	dana
naš,e	naše
prijem,u	prijemu
član,ove	članove
kor,a	kora
jak,om	jakom
vest,i	vesti
Brisel,a	Brise,la
zelen,o	zeleno
promena,ma	promenama
reformski,h	refor,mskih
članica,ma	članicama
lider,i	lideri
jedinstven,o	jedinstveno
porast,u	porastu
pregovarački,h	pregovara,čkih
poen,a	poena
pokušaj,a	pokušaja
predstojeći,m	predstoje,ćim
forum,a	foruma
UNESKO,-a	U,NE,SKO,-,a
pokrovitelj,i	pokro,vi,telji
avgust,a	avgusta
grad,u	gradu
Ohrid,u	Oh,ri,du
savest,i	savesti
predsednik,e	predsed,nike
nevladin,ih	nevladinih
ekspert,ima	eksperti,ma
jednakost,i	jednakosti
ljudski,h	ljudskih
radni,h	radnih
skup,u	skupu
demokratski,h	demokratskih
cilj,eva	ciljeva
pun,og	punog
različit,ih	različitih
etnički,h	etničkih
pripadnost,i	pripadnosti
civilizovan,u	civili,zovanu
održiv,a	održiva
april,u	aprilu
visok,ih	visokih
zvaničnik,a	zvaničnika
nivo,u	nivou
naš,im	našim
oslabljen,u	osla,blje,nu
profesor,ima	profesorima
studentski,m	student,skim
kampus,e	kampu,se
protest,a	protesta
osiguran,u	osigura,nu
bulevar,om	bu,leva,rom
ratifikovan,og	rati,fikova,nog
univerzitet,ima	univerzitetima
škola,ma	školama
stepen,a	stepena
sistem,u	sistemu
visok,og	visokog
velik,u	veliku
status,a	statusa
azil,a	azila
nezabeležen,a	neza,bele,žena
glas,ovima	glasovima
konsenzus,u	konsenzu,su
moguć,ih	mogućih
naslednik,a	naslednika
Jorgos,a	Jor,go,sa
Papandreu,a	Papa,ndre,ua
istorijski,m	istorijskim
osnažen,a	osna,žena
vođstvo,m	vođstvom
skori,jim	sko,riji,m
neuspeh,om	neuspe,hom
mesec,ima	mesecima
nekompetentnost,i	nekom,pe,tent,nosti
neefektivnost,i	ne,e,fek,tivnosti
širok,om	širokom
obrazovni,h	obrazovnih
akademski,h	akademskih
protest,i	protesti
povezan,e	povezane
levičarski,m	levi,čar,skim
stranka,ma	strankama
mlad,ih	mladih
rektor,a	re,ktora
otvoren,i	otvoreni
Aristotelov,og	Aristo,telo,vog
univerzitet,a	univerziteta
Solun,u	Solu,nu
prav,o	pravo
prolongiran,o	pro,lon,gi,rano
univerzitet,i	univerzi,teti
garantor,i	garan,tori
legalitet,a	lega,liteta
ustavnost,i	ustavnosti
urban,i	urbani
britanski,h	britanskih
diplomac,a	diploma,ca
SETimes,u	SE,Time,su
predavački,h	preda,vačkih
London,a	Londona
univerzitetski,h	univerzitet,skih
sistem,e	sisteme
razborit,a	razbo,rita
zdrav,og	zdravog
razum,a	razuma
ran,ih	ranih
osamdeseti,h	osamdesetih
novoizabran,a	novo,iza,brana
glasački,h	glasačkih
listić,a	listića
povezan,ih	povezanih
izbor,u	izboru
studentski,h	studentskih
obavezan,o	obaveza,no
vreme,na	vremena
udžbenik,a	udžbenika
internet,u	internetu
spojen,e	spoj,ene
faza,ma	fazama
narkotik,a	narko,tika
Balkan,u	Balkanu
pokušaj,u	pokušaju
krijumčar,ima	krijum,čarima
dolar,a	dolara
krijumčar,a	krijum,čara
analitičar,i	analitičari
naj,nov,ija	najnovija
zdravstven,e	zdravstvene
krijumčar,i	krijum,čari
sporazum,e	sporazume
izveštaj,u	izveštaju
put,eve	puteve
podatak,a	podataka
američki,h	američkih
avganistanski,h	av,ganista,nskih
izvor,a	izvora
predložen,i	predloženi
januar,a	januara
albanski,m	alba,nskim
vlast,ima	vlastima
heroin,a	hero,ina
prvi,h	prvih
promet,a	prometa
poznat,i	poznati
mediteranski,m	mediteran,skim
promet,om	prometom
izveštaj,ima	izveštajima
granica,ma	granicama
svoj,u	svoju
Ivanov,u	I,vano,vu
sopstven,u	sopstvenu
tranzit,a	tranzi,ta
evropski,m	evropskim
partnerski,h	partnerskih
određen,a	određena
napad,a	napada
aktivist,i	aktivisti
nevladin,e	nevladine
star,u	staru
rad,om	radom
planiran,og	planiranog
metar,a	metara
volonter,i	volonteri
dug,a	duga
starost,i	starosti
koji,m	kojim
Aliani,ja	Ali,a,nija
Aliani,ju	Ali,a,niju
grad,a	grada
savet,u	savetu
UNESKO,-u	U,NE,SKO,-,u
Abdulah,u	Ab,dula,hu
Gul,u	Gu,lu
njegov,ih	njegovih
rimski,h	rimskih
čvrst,u	čvrstu
predviđen,om	predviđenom
plan,u	planu
otkriven,ih	otkri,venih
komad,i	komadi
metal,i	metali
staklen,i	stakle,ni
artefakt,i	artefa,kti
period,a	perioda
objekat,a	objekata
izvor,ima	izvorima
potapanje,m	pota,panjem
turist,a	turista
bog,a	boga
vek,u	veku
imperator,a	impera,tora
Hadrijan,a	Had,rijana
lekovit,og	lekovi,tog
izvorski,m	izvor,skim
voda,ma	vodama
lekovit,om	lekovi,tom
stepen,i	stepeni
Celzijus,a	Celzijusa
ukrašen,e	ukra,šene
čist,im	čistim
mermerni,m	mer,mer,nim
kamen,om	kamenom
zaštićen,im	zaštićenim
trg,ovi	trgovi
slučaj,evi	slučajevi
važnost,i	važnosti
običaj,i	običaji
pripadnik,a	pripadnika
brz,a	brza
različit,i	različiti
javnost,i	javnosti
slučaj,eva	slučajeva
tužen,e	tu,žene
strah,a	straha
maltretiranje,m	maltre,tiranjem
pošten,a	po,štena
Rom,a	Roma
ljudski,m	ljudskim
žrtva,ma	žrtvama
sektor,u	sektoru
ombudsman,om	ombuds,manom
telesni,h	tele,snih
grub,o	grubo
potpun,og	potpunog
ombudsman,a	ombuds,mana
Iđet,a	I,đe,ta
Memeti,ja	Me,me,tija
Delevoa,a	Dele,vo,aa
kazneni,h	kaznenih
tok,u	toku
policajac,a	policajaca
navrat,a	navrata
prekid,a	prekida
posmatrač,a	posmatrača
izbeglica,ma	izbegli,cama
Tbilisi,ja	T,bili,sija
posmatrač,e	posmatra,če
odmetnut,u	odmet,nu,tu
čas,a	časa
sukob,a	sukoba
šef,ovi	še,fovi
uobičajen,e	uobičajene
Rus,i	Rusi
položaj,e	položaje
odmetnut,oj	odmet,nu,toj
velik,om	velikom
sam,u	samu
sam,e	same
prizor,i	pri,zori
ruski,h	ruskih
tenk,ova	tenkova
OEBS,-a	OEBS,-,a
teren,u	terenu
ko,me	kome
moguć,oj	mogućoj
šef,ova	še,fova
Avinjon,u	Avi,njo,nu
istočnoevropski,h	istočno,evro,pskih
njen,ih	njenih
implikacija,ma	im,plika,cijama
savez,a	saveza
plan,a	plana
napad,e	napade
siromaštvo,m	siroma,štvom
Grk,a	Grka
vest,ima	vestima
nivo,a	nivoa
slom,a	slo,ma
kontinent,u	kontinentu
uticaj,u	uticaju
Rumun,a	Ru,muna
njihov,a	njihova
ispitanik,a	ispitanika
smer,a	smera
Bazel,a	Ba,zela
farmaceutski,h	farmaceut,skih
proizvod,a	proizvoda
Zemun,u	Zemu,nu
projekt,u	projektu
forum,u	forumu
margina,ma	margi,nama
savet,a	saveta
gas,a	gasa
basen,a	ba,sena
detalj,e	detalje
centar,a	centara
efikasnost,i	efikasnosti
zaposlen,e	zaposlene
industrijski,m	industrijskim
sektor,ima	sektorima
profit,a	profita
porez,i	porezi
odmor,e	od,more
vladin,ih	vladinih
vaterpolist,i	vater,po,listi
neporažen,i	nepo,ra,ženi
Emanuil,a	Ema,nui,la
Milonakis,a	Milo,na,ki,sa
Peking,u	Pekingu
gol,a	gola
stil,u	stilu
protivnik,a	protivnika
Šeref,a	Še,re,fa
Eroglu,a	E,ro,glu,a
kilogram,a	kilograma
Čeh,a	Če,ha
Marek,a	Mare,ka
Švec,a	Šve,ca
ženski,m	ženskim
eliminacija,ma	elimina,cijama
Nozadze,a	No,zad,ze,a
vreme,nom	vremenom
tenis,u	teni,su
Kong,a	Kon,ga
tvrd,oj	tvrdo,j
gol,ova	golova
teg,ova	te,gova
muški,h	muških
mešovit,im	mešo,vitim
stil,om	stilom
takmičar,a	takmičara
rvač,i	,rva,či
meč,u	meču
slatkiš,a	slatki,ša
Mraz,a	Mra,za
pregled,u	pregledu
sport,a	sporta
njegov,om	njegovom
film,u	filmu
Mraz,om	Mra,zom
vilenjak,om	vile,nja,kom
svoj,a	svoja
trg,a	trga
karusel,a	ka,ru,sela
velik,oj	velikoj
trg,u	trgu
klub,a	kluba
albanski,h	alba,nskih
ličnost,i	ličnosti
umetnost,i	umetnosti
orden,om	or,denom
majstor,a	majstora
Fuad,a	Fu,ada
Muzurović,a	Mu,zu,rovića
selektor,a	selek,tora
Blaž,a	Bla,ža
Slišković,a	Sli,škovića
loš,eg	lošeg
kvalifikacija,ma	kvalifikacijama
savremen,e	savremene
rad,ova	radova
slikar,a	slikara
tematski,h	tematskih
ciklus,a	ciklusa
Pariz,u	Parizu
KFOR,-a	K,FOR,-,a
srpski,m	srpskim
demonstrant,ima	demonstra,ntima
etnički,m	etni,čkim
vojnik,e	vojnike
podeljen,og	podelje,nog
naseljen,ih	naseljenih
sukob,i	sukobi
izveštaj,a	izveštaja
granata,ma	granata,ma
UNMIK,-a	UN,MI,K,-,a
sever,u	severu
KFOR,-u	K,FOR,-,u
snaga,ma	snagama
sud,a	suda
srpski,h	srpskih
demonstrant,i	demonstra,nti
razgovor,e	razgovore
kompleks,u	kompleksu
nered,a	nereda
februar,a	februara
UN,-u	UN,-,u
kosovski,m	kosov,skim
napet,a	nape,ta
pun,oj	punoj
pripadnik,e	pripadnike
prepad,u	pre,padu
okupljen,e	okupljene
povređen,i	pov,ređeni
policijski,h	policijskih
kompleks,a	kompleksa
poljski,h	polj,skih
izvor,i	izvori
šef,a	šefa
pokušaj,i	pokušaji
nadležnost,i	nadležnosti
Slobodan,om	Sloboda,nom
Samardžić,em	Samar,dži,ćem
isključiv,u	isključi,vu
napad,u	napadu
red,a	reda
Mikalis,a	Mika,lisa
Krisohoides,a	Kri,so,ho,ide,sa
objekt,u	objektu
saradnik,a	saradnika
sat,i	sati
sprat,u	spratu
slatkiš,ima	slatki,šima
uvijen,i	uvije,ni
ruka,ma	rukama
dim,a	dima
Vasilakisov,om	Va,sila,ki,sovom
prijatelj,a	prijatelja
dragocen,og	dragoce,nog
incident,i	inci,denti
grad,ove	gradove
BBC,-u	BBC,-,u
prst,om	prstom
lista,ma	listama
terorist,a	terorista
moguć,eg	mogućeg
militant,ima	milita,ntima
Grk,e	Gr,ke
norlmalnost,i	nor,l,ma,lnosti
naš,oj	našoj
sused,ima	suse,dima
turist,e	turiste
netaknut,om	netak,nu,tom
čist,om	čistom
srednjovekovni,m	srednjoveko,vnim
ilirski,m	ili,rskim
ruševina,ma	ru,ševi,nama
kampanja,ma	kampa,njama
posvećivanje,m	posve,ći,vanjem
prihod,a	prihoda
napor,i	napori
prihod,i	prihodi
procvat,a	proc,vata
sektor,a	sektora
finansijski,h	finansijskih
poziv,e	pozive
njegov,u	njegovu
parlament,a	parlamenta
red,om	redom
pad,a	pada
dostavljen,u	dostavlje,nu
miroljubiv,om	miro,ljubi,vom
miting,u	mi,tin,gu
Đurčanj,a	Đur,čanja
veče,ri	večeri
Rojters,a	Roj,ter,sa
ulica,ma	ulicama
voden,e	vodene
top,ove	to,pove
demonstrant,e	demon,stran,te
FIDES,-a	FI,DE,S,-,a
njihov,im	njihovim
poziv,ima	pozi,vima
izbor,i	izbori
ekonomski,m	ekonomskim
program,u	programu
novinar,e	novinare
automobil,i	automobili
BDP,-a	BDP,-,a
porez,e	poreze
planiran,e	planirane
zdravstven,om	zdravstvenom
visok,om	visokom
sud,om	sudom
zločin,e	zločine
NATO,-u	NATO,-,u
glavni,h	glavnih
prioritet,a	prioriteta
tribunal,om	tribuna,lom
MKSJ,-u	M,KS,J,-,u
počinjen,e	počinje,ne
devedeseti,h	devedesetih
njegov,i	njegovi
Hag,u	Hagu
visok,a	visoka
general,a	generala
njihov,e	njihove
sukob,u	sukobu
bosanski,h	bosanskih
Rim,u	Rimu
zid,a	zida
Miloševićev,ih	Miloševi,ćevih
sledbenik,a	sledbe,nika
konsenzus,om	konsenzu,som
Boris,a	Borisa
Tadić,a	Ta,dića
Vojislav,a	Vojislava
Niš,u	Nišu
jug,u	jugu
izveštaj,e	izveštaje
tribunal,a	tribuna,la
Beograd,a	Beograda
mogućnost,i	mogućnosti
dogovor,a	dogovora
srebrn,i	sreb,rni
predmet,i	predmeti
Japan,u	Japanu
kup,a	kupa
uzastopni,m	uzasto,pnim
izložba,ma	izložbama
zamenik,a	zamenika
srebrn,ih	srebr,nih
antički,h	anti,čkih
predmet,a	predmeta
predmet,e	predmete
pronađen,e	pronađene
poslednji,h	poslednjih
svetski,h	svetskih
šampion,a	šampiona
četvorostruk,a	četvoro,stru,ka
problem,a	problema
koleno,m	kole,nom
Jirgen,a	J,ir,gena
Melcer,a	Mel,cera
turnir,a	turnira
Mec,u	Me,cu
Mons,u	Mon,su
Aleks,a	Aleksa
Bogdanović,a	Bogda,novića
balkanski,h	balkanskih
pisac,a	pisaca
dobitnik,a	dobitnika
Nobelov,e	Nobe,love
Andrić,a	And,rića
Travnik,u	Tra,vniku
čitanje,m	čitanjem
Travnik,a	Tra,vnika
film,a	filma
dokument,a	dokumenta
rukopis,i	ruko,pisi
magazin,i	maga,zini
vek,a	veka
mlad,e	mlade
Pirot,u	Piro,tu
inspirisan,a	inspi,risana
poslanik,u	posla,niku
statut,u	statu,tu
radikal,a	radikala
irački,m	ira,čkim
novinar,em	novina,rem
Džordž,a	Džordža
Buš,a	Bu,ša
obrazloženje,m	obrazloženjem
režim,u	režimu
medij,i	mediji
cirkus,om	cirku,som
glasnogovornik,a	glasno,govornika
poslanik,e	posla,nike
jeftin,i	jefti,ni
poen,i	po,eni
poslovnik,a	poslo,vnika
kraj,u	kraju
Rajko,m	Raj,kom
Kuzmanović,em	Kuzma,novićem
način,e	načine
cilj,u	cilju
skor,ije	sko,rije
Škundrić,em	Š,ku,ndri,ćem
neki,h	nekih
skor,u	sko,ru
podeljen,im	podelje,nim
grad,ovima	gradovima
obećanje,m	obeća,njem
mera,ma	merama
težnja,ma	težnja,ma
Đorge,m	Đor,ge,m
Ivanov,im	I,vano,vim
odnos,i	odnosi
Brazil,om	Brazi,lom
Iran,a	Irana
hrabrost,i	hrabrosti
dubok,e	duboke
zabrinutost,i	zabrinutosti
Stons,i	Sto,nsi
Mik,u	Mi,ku
Džeger,u	Dže,geru
Stons,ima	Sto,n,sima
mešovit,ih	mešo,vitih
par,ova	parova
Vimbldon,u	Vi,mb,ldo,nu
gitarist,om	gitari,stom
Kit,om	Ki,tom
Ričards,om	Ričard,som
sklop,u	sklopu
Stons,a	Sto,nsa
obožavalac,a	obo,žavala,ca
koncert,u	koncertu
sat,a	sata
Trabzon,u	Tra,b,zonu
luk,om	lukom
fudbal,u	fudbalu
Vimbldon,a	Vi,mb,l,dona
par,ovima	parovima
Jonas,a	Jona,sa
Bjorkman,a	Bj,ork,mana
poraz,a	poraza
Sliven,a	Sli,vena
umetnik,a	umetnika
MOK,-a	MO,K,-,a
Siti,ju	Si,tiju
Akropolj,a	A,kro,polja
arhitekt,a	arhitekta
njen,oj	njenoj
mermer,e	mer,mere
Partenon,a	Par,teno,na
projektovan,e	projek,tovane
sanduk,e	sandu,ke
punjen,e	pu,njene
velik,og	velikog
arhitekt,om	arhitek,tom
muzej,a	muzeja
Bernar,om	Berna,rom
Čumi,jem	Ču,mijem
ambasador,a	ambasadora
artikal,a	artikala
vremenski,h	vremenskih
uslov,a	uslova
uslov,ima	uslovima
vlažnost,i	vlažnosti
antikvitet,a	anti,kvi,teta
metal,a	metala
sanduk,a	san,duka
nadzor,om	nadzorom
inženjer,a	inženjera
Kostas,a	Kosta,sa
Zambas,a	Za,mba,sa
objekt,a	objekta
odabran,i	odabrani
nagrađivan,i	nagrađi,vani
Bernar,a	Ber,nara
Čumi,ja	Ču,mija
Njujork,u	Njujorku
staklen,a	stakle,na
stub,ovima	stu,bovima
kvadratni,h	kvadratnih
transport,a	transporta
sadržaj,a	sadržaja
antikvitet,i	anti,kvi,teti
privremen,i	privremeni
velik,a	velika
međusprat,u	među,spra,tu
staklen,om	stakle,nom
njihov,u	njihovu
Partenon,u	Par,teno,nu
vek,ova	vekova
hram,a	hrama
Akropolj,u	A,kro,polju
odnos,u	odnosu
stub,ove	stu,bove
savršenost,i	savrše,nosti
moj,ih	mojih
svojstven,o	svoj,stveno
postepen,o	postepeno
mermer,i	mer,meri
muzej,u	muzeju
odgovarajući,h	odgovarajućih
njihov,og	njihovog
impresioniran,i	impresio,nirani
mermer,a	mer,mera
ime,nom	imenom
Elginov,i	El,gi,novi
skulpturni,h	skulp,tu,rnih
mermer,ima	mer,meri,ma
friz,a	fri,za
uzeti,h	uze,tih
zabat,a	zaba,ta
Erehtejon,a	E,re,hte,j,ona
fragment,e	frag,mente
nov,om	novom
liven,im	li,venim
zamena,ma	zamena,ma
kontinuitet,a	kontinuiteta
njen,og	njenog
mandat,a	mandata
organizacija,ma	organizacijama
bugarski,h	bugar,skih
Mastriht,u	Ma,stri,h,tu
određen,im	određenim
broj,em	brojem
Beč,u	Beču
ministar,a	ministara
NATO,-a	NATO,-,a
Vankuver,a	Van,ku,vera
Vladivostok,a	Vladi,vo,sto,ka
dokument,ima	dokumentima
obračun,u	obračunu
pretnja,ma	pret,njama
sigurnost,i	sigurnosti
materijal,ima	materijalima
format,u	formatu
zločin,a	zločina
prevremen,i	pre,vremeni
tržišni,h	tržišnih
postignut,og	postignu,tog
održiv,og	održivog
konflikt,a	konflikta
Jap,a	Japa
Hop,a	Ho,pa
Šefer,a	Še,fera
Pasi,ja	Pa,sija
širok,e	široke
