jeremić,a	jere,mi,ća
međuvreme,nu	međuvremenu
koji,h	kojih
zagreb,u	zagrebu
razgovor,i	raz,govori
jul,a	jula
sve,mu	svemu
pregovor,i	pre,govori
pristup,u	pristupu
korak,e	korake
neki,m	nekim
jun,u	junu
poziv,u	pozi,vu
saobraćaj,a	saobraćaja
razlog,a	razloga
brisel,u	briselu
postavljen,e	postavljene
cilj,eve	ciljeve
zagreb,a	zagre,ba
velik,e	velike
premijer,om	premije,rom
ivo,m	i,vom
sanader,om	s,ana,de,rom
uslov,om	uslovom
razgovor,u	razgovoru
ren,om	r,enom
kriterijum,a	kriterijuma
poziv,a	poziva
spor,u	spo,ru
samit,a	sa,mita
makedonski,m	makedon,skim
branko,m	bran,kom
crvenkovski,m	crven,kov,skim
gruevski,m	gru,ev,skim
sekretar,om	sekre,ta,rom
nato,-om	nato,-,om
jap,om	ja,pom
hop,om	ho,pom
shefer,om	she,fe,rom
pomenut,i	pomenuti
nepromenjen,i	nepromen,jeni
domen,u	domenu
sekretar,a	sekretara
lider,ima	lide,rima
izaslanik,om	iza,sl,ani,kom
un,-a	un,-,a
metju,om	met,ju,om
nimic,om	ni,mi,com
vođa,ma	vo,đa,ma
nimicov,ih	ni,mi,c,ovih
predlog,a	predloga
prevremen,e	pre,vre,mene
izbor,e	izbore
vikend,a	vikenda
makedonski,h	makedon,skih
spor,a	spora
okrilje,m	o,kri,ljem
obostran,o	obo,strano
prihvatljiv,o	prihvat,ljivo
osumnjičen,ih	osumnji,čenih
sukob,e	suko,be
napad,om	napa,dom
unutrašnji,h	unutrašnjih
osumnjičen,e	osumnji,čene
neidentifikovan,a	ne,identifi,kovana
povezanost,i	povezanosti
teroristički,m	terori,stičkim
akcija,ma	akcijama
sarajevski,m	sara,jev,skim
kvart,ovima	kva,rt,ovima
eksploziv,a	eksplo,ziva
mart,u	martu
hapšenje,m	hap,šenjem
dokaz,a	dokaza
martovski,m	ma,rt,ov,skim
uređaj,e	uređa,je
crtež,e	cr,teže
priručnik,e	priru,č,nike
uređaj,a	uređaja
detonator,e	de,to,na,tore
osumnjičen,i	osumnji,čeni
povezan,i	povezani
pokret,om	pokre,tom
navodni,h	navod,nih
mirsad,om	mir,sa,dom
bektašević,em	b,ek,ta,še,vi,ćem
teroristički,h	terori,stičkih
vatren,og	va,tren,og
jusuf,a	ju,su,fa
barčić,a	bar,čića
ko,ga	koga
katolički,h	kato,lič,kih
razvoj,u	razvoju
izvoznik,e	izvo,z,nike
kilometar,a	kilometara
koman,a	ko,mana
problem,u	problemu
deklarisan,u	dekla,ri,sanu
kosovski,h	kosov,skih
izvoznik,a	izvo,z,nika
izvoz,a	izvoza
proizvod,i	proizvodi
skup,lji	skup,lji
direktor,a	direktora
nedeklarisan,a	nede,kla,ri,sana
sumnjiv,a	sumnji,va
potpun,o	potpuno
carinski,h	car,inskih
proizvod,e	proizvode
njihov,om	njihovom
reciprocitet,a	reci,proci,teta
reciprocitet,om	reci,proci,tetom
pomoć,i	pomoći
grčki,h	gr,čkih
brod,ovima	bro,dovima
aktivist,a	aktivi,sta
velik,im	velikim
korak,om	kora,kom
kapetan,a	ka,pet,ana
brod,ova	bro,dova
nov,u	novu
osnov,u	osnovu
život,e	živote
putnik,a	putnika
novinar,a	novinara
pritvor,u	pritvor,u
konvoj,a	kon,vo,ja
maj,u	maju
turski,h	tur,skih
grčki,m	gr,čkim
stran,im	stranim
zastava,ma	za,stav,ama
protest,e	prote,ste
propalestinski,h	pro,pale,st,inskih
izrael,a	izra,ela
problem,e	probleme
film,ova	filmova
džejms,om	dže,jm,som
bond,om	bon,dom
izrael,om	izra,e,lom
odnos,a	odnosa
damask,a	da,ma,ska
norma,ma	nor,mama
bliskoistočni,h	bli,sko,isto,čnih
mirovni,h	mir,ov,nih
posrednik,a	posred,nika
kanal,a	kanala
uspostavljen,m	uspostav,ljen,m
kopnen,im	kop,nen,im
prelaz,ima	prela,zima
kompromis,a	kompromi,sa
korišćenje,m	korišćenjem
postojeći,h	postojećih
prihvatljiv,i	prihvatlji,vi
izrael,u	izra,elu
jul,u	julu
dvostruk,i	dvostru,ki
proces,u	procesu
dan,a	dana
naš,e	naše
prijem,u	prijemu
član,ove	članove
kor,a	kora
jak,om	ja,kom
vest,i	vesti
brisel,a	bri,sela
zelen,o	zel,eno
promena,ma	promenama
reformski,h	re,for,mskih
članica,ma	člani,cama
lider,i	lideri
jedinstven,o	jedinstven,o
porast,u	pora,stu
pregovarački,h	pregovara,čkih
poen,a	poena
pokušaj,a	pokušaja
predstojeći,m	predstoje,ćim
forum,a	foruma
unesko,-a	u,ne,sko,-,a
pokrovitelj,i	po,kr,ovi,telji
avgust,a	avgusta
grad,u	gradu
ohrid,u	o,hri,du
savest,i	save,sti
predsednik,e	predsed,nike
nevladin,ih	nevla,din,ih
ekspert,ima	eksper,tima
jednakost,i	jedna,kosti
ljudski,h	ljudskih
radni,h	radnih
skup,u	skupu
demokratski,h	demokrat,skih
cilj,eva	ciljeva
pun,og	pu,nog
različit,ih	različitih
etnički,h	et,ničkih
pripadnost,i	pripadnosti
civilizovan,u	civi,liz,ovanu
održiv,a	održi,va
april,u	aprilu
visok,ih	visokih
zvaničnik,a	zvani,čnika
nivo,u	nivou
naš,im	našim
oslabljen,u	osla,b,ljenu
profesor,ima	profe,so,rima
studentski,m	studen,tskim
kampus,e	ka,m,pu,se
protest,a	protesta
osiguran,u	osigu,ranu
bulevar,om	bu,le,va,rom
ratifikovan,og	rati,fikovan,og
univerzitet,ima	univerzi,tetima
škola,ma	školama
stepen,a	stepena
sistem,u	sistemu
visok,og	visokog
velik,u	veliku
status,a	statusa
azil,a	az,ila
nezabeležen,a	ne,zabeležena
glas,ovima	glas,ovima
konsenzus,u	konsenzu,su
moguć,ih	mogućih
naslednik,a	nasled,nika
jorgos,a	jor,go,sa
papandreu,a	p,ap,an,dre,u,a
istorijski,m	istorijskim
osnažen,a	osna,žena
vođstvo,m	vođ,stvom
skori,jim	sko,rij,im
neuspeh,om	ne,uspe,hom
mesec,ima	mesecima
nekompetentnost,i	ne,kompeten,tnosti
neefektivnost,i	ne,efek,tivnosti
širok,om	širo,kom
obrazovni,h	obrazovnih
akademski,h	akade,mskih
protest,i	prote,sti
povezan,e	povezane
levičarski,m	le,vi,čar,skim
stranka,ma	stran,kama
mlad,ih	mladih
rektor,a	rek,tora
otvoren,i	otvoreni
aristotelov,og	ari,sto,tel,ovog
univerzitet,a	univerziteta
solun,u	solu,nu
prav,o	pravo
prolongiran,o	pro,longi,rano
univerzitet,i	univerzi,teti
garantor,i	garan,tori
legalitet,a	lega,li,teta
ustavnost,i	ustav,nosti
urban,i	urbani
britanski,h	britan,skih
diplomac,a	diplo,maca
setimes,u	se,ti,me,su
predavački,h	predava,čkih
london,a	londo,na
univerzitetski,h	univerzi,te,tskih
sistem,e	sisteme
razborit,a	raz,bori,ta
zdrav,og	zdra,vog
razum,a	razu,ma
ran,ih	ranih
osamdeseti,h	osamdesetih
novoizabran,a	novo,izabra,na
glasački,h	glasa,čkih
listić,a	listi,ća
povezan,ih	povezanih
izbor,u	izboru
studentski,h	studen,tskih
obavezan,o	obave,zano
vreme,na	vremena
udžbenik,a	udžbenika
internet,u	internetu
spojen,e	spo,jene
faza,ma	fazama
narkotik,a	nar,ko,tika
balkan,u	balkanu
pokušaj,u	pokušaju
krijumčar,ima	kri,jum,čarima
dolar,a	dolara
krijumčar,a	kri,jum,čara
analitičar,i	anali,tičari
naj,nov,ija	najnovi,ja
zdravstven,e	zdravstvene
krijumčar,i	kri,jum,čari
sporazum,e	sporazu,me
izveštaj,u	izveštaju
put,eve	puteve
podatak,a	podataka
američki,h	američkih
avganistanski,h	av,gani,stan,skih
izvor,a	izvora
predložen,i	predložen,i
januar,a	januara
albanski,m	alban,skim
vlast,ima	vla,stima
heroin,a	hero,ina
prvi,h	prvih
promet,a	prometa
poznat,i	poznati
mediteranski,m	medi,te,ran,skim
promet,om	pro,me,tom
izveštaj,ima	izvešta,jima
granica,ma	granicama
svoj,u	svoju
ivanov,u	ivan,ovu
sopstven,u	sopstvenu
tranzit,a	tranzi,ta
evropski,m	evropskim
partnerski,h	partner,skih
određen,a	određena
napad,a	napada
aktivist,i	aktivi,sti
nevladin,e	nevla,dine
star,u	sta,ru
rad,om	radom
planiran,og	plani,ranog
metar,a	metara
volonter,i	volon,teri
dug,a	duga
starost,i	starosti
koji,m	kojim
aliani,ja	ali,anija
aliani,ju	ali,aniju
grad,a	grada
savet,u	save,tu
unesko,-u	u,ne,sko,-,u
abdulah,u	ab,du,la,hu
gul,u	gu,lu
njegov,ih	njegovih
rimski,h	ri,mskih
čvrst,u	čvr,stu
predviđen,om	predvi,đenom
plan,u	planu
otkriven,ih	otkri,venih
komad,i	koma,di
metal,i	met,ali
staklen,i	stakl,eni
artefakt,i	arte,fak,ti
period,a	perioda
objekat,a	objekata
izvor,ima	izvorima
potapanje,m	po,ta,p,anjem
turist,a	turista
bog,a	boga
vek,u	veku
imperator,a	impera,tora
hadrijan,a	had,rij,ana
lekovit,og	lekovi,tog
izvorski,m	izvor,skim
voda,ma	vodama
lekovit,om	lekovi,tom
stepen,i	stepeni
celzijus,a	c,el,zi,ju,sa
ukrašen,e	ukra,šene
čist,im	či,stim
mermerni,m	mer,mer,nim
kamen,om	ka,menom
zaštićen,im	zašti,ćenim
trg,ovi	trgov,i
slučaj,evi	slučajevi
važnost,i	važnosti
običaj,i	običa,ji
pripadnik,a	pripadnika
brz,a	br,za
različit,i	različiti
javnost,i	javnosti
slučaj,eva	slučajeva
tužen,e	tu,žene
strah,a	straha
maltretiranje,m	mal,tre,ti,ranjem
pošten,a	pošt,ena
rom,a	roma
ljudski,m	ljudskim
žrtva,ma	žrtvama
sektor,u	sektoru
ombudsman,om	om,bud,sman,om
telesni,h	tele,snih
grub,o	gru,bo
potpun,og	potpunog
ombudsman,a	om,bud,s,mana
iđet,a	i,đe,ta
memeti,ja	me,meti,ja
delevoa,a	de,le,vo,aa
kazneni,h	kazn,enih
tok,u	toku
policajac,a	polica,jaca
navrat,a	navrata
prekid,a	prekida
posmatrač,a	posmatra,ča
izbeglica,ma	izbe,gli,cama
tbilisi,ja	t,bili,sija
posmatrač,e	posmatra,če
odmetnut,u	od,met,nu,tu
čas,a	časa
sukob,a	sukoba
šef,ovi	še,f,ovi
uobičajen,e	uobiča,jene
rus,i	rusi
položaj,e	položa,je
odmetnut,oj	od,met,nu,toj
velik,om	velikom
sam,u	samu
sam,e	same
prizor,i	pri,zori
ruski,h	ruskih
tenk,ova	ten,kova
oebs,-a	oe,bs,-,a
teren,u	terenu
ko,me	kome
moguć,oj	moguć,oj
šef,ova	še,f,ova
avinjon,u	a,vin,jo,nu
istočnoevropski,h	isto,čno,evropskih
njen,ih	njenih
implikacija,ma	implika,cijama
savez,a	saveza
plan,a	plana
napad,e	napa,de
siromaštvo,m	siroma,št,vom
grk,a	gr,ka
vest,ima	ve,stima
nivo,a	nivoa
slom,a	slo,ma
kontinent,u	kontinen,tu
uticaj,u	uticaju
rumun,a	rumu,na
njihov,a	njihova
ispitanik,a	ispitanika
smer,a	smera
bazel,a	ba,ze,la
farmaceutski,h	farmaceut,skih
proizvod,a	proizvoda
zemun,u	zemu,nu
projekt,u	projektu
forum,u	forumu
margina,ma	mar,g,inama
savet,a	saveta
gas,a	gasa
basen,a	ba,sena
detalj,e	detalje
centar,a	centara
efikasnost,i	efikasnosti
zaposlen,e	zaposlene
industrijski,m	industrij,skim
sektor,ima	sek,torima
profit,a	profi,ta
porez,i	pore,zi
odmor,e	od,more
vladin,ih	vla,din,ih
vaterpolist,i	va,ter,poli,sti
neporažen,i	nepo,ra,ženi
emanuil,a	e,manu,ila
milonakis,a	mil,ona,ki,sa
peking,u	pek,ingu
gol,a	gola
stil,u	stilu
protivnik,a	protivnika
šeref,a	še,re,fa
eroglu,a	e,ro,glu,a
kilogram,a	kilograma
čeh,a	če,ha
marek,a	ma,reka
švec,a	š,ve,ca
ženski,m	žen,skim
eliminacija,ma	eli,mina,cijama
nozadze,a	no,zad,ze,a
vreme,nom	vremenom
tenis,u	teni,su
kong,a	kon,ga
tvrd,oj	tvrdo,j
gol,ova	go,lova
teg,ova	te,gova
muški,h	muš,kih
mešovit,im	mešovi,tim
stil,om	stil,om
takmičar,a	takmi,čara
rvač,i	r,vači
meč,u	meču
slatkiš,a	sla,tki,ša
mraz,a	m,ra,za
pregled,u	pregledu
sport,a	sporta
njegov,om	njegovom
film,u	filmu
mraz,om	m,raz,om
vilenjak,om	vil,en,ja,kom
svoj,a	svoja
trg,a	tr,ga
karusel,a	ka,ru,sela
velik,oj	velikoj
trg,u	tr,gu
klub,a	kluba
albanski,h	alban,skih
ličnost,i	ličnosti
umetnost,i	umetnosti
orden,om	or,den,om
majstor,a	maj,stora
fuad,a	fu,a,da
muzurović,a	mu,zu,r,ovića
selektor,a	selek,tora
blaž,a	bla,ža
slišković,a	sli,ško,vića
loš,eg	lošeg
kvalifikacija,ma	kvali,fika,cijama
savremen,e	savremene
rad,ova	radova
slikar,a	slika,ra
tematski,h	te,matskih
ciklus,a	ciklusa
pariz,u	parizu
kfor,-a	k,fo,r,-,a
srpski,m	srpskim
demonstrant,ima	demon,stran,tima
etnički,m	etnič,kim
vojnik,e	voj,nike
podeljen,og	pode,ljenog
naseljen,ih	nase,ljenih
sukob,i	suko,bi
izveštaj,a	izveštaja
granata,ma	grana,tama
unmik,-a	un,mi,k,-,a
sever,u	severu
kfor,-u	k,fo,r,-,u
snaga,ma	sna,gama
sud,a	suda
srpski,h	srpskih
demonstrant,i	demon,stran,ti
razgovor,e	raz,govore
kompleks,u	komplek,su
nered,a	ne,reda
februar,a	februara
un,-u	un,-,u
kosovski,m	kosov,skim
napet,a	nape,ta
pun,oj	pu,noj
pripadnik,e	pripad,nike
prepad,u	pre,padu
okupljen,e	okup,ljene
povređen,i	povre,đeni
policijski,h	policij,skih
kompleks,a	kompleksa
poljski,h	polj,skih
izvor,i	izvori
šef,a	šefa
pokušaj,i	pokuša,ji
nadležnost,i	nadležnosti
slobodan,om	slobod,anom
samardžić,em	sa,mar,dži,ćem
isključiv,u	isključi,vu
napad,u	napadu
red,a	reda
mikalis,a	mi,kali,sa
krisohoides,a	kri,so,ho,ide,sa
objekt,u	objektu
saradnik,a	saradnika
sat,i	sati
sprat,u	spra,tu
slatkiš,ima	sla,tki,š,ima
uvijen,i	uvi,jeni
ruka,ma	rukama
dim,a	dima
vasilakisov,om	va,si,lak,is,ovom
prijatelj,a	prijatelja
dragocen,og	drago,cen,og
incident,i	inciden,ti
grad,ove	grad,ove
bbc,-u	bbc,-,u
prst,om	pr,stom
lista,ma	li,stama
terorist,a	terori,sta
moguć,eg	mogu,ćeg
militant,ima	mili,tan,tima
grk,e	gr,ke
norlmalnost,i	nor,l,mal,nosti
naš,oj	našoj
sused,ima	su,se,dima
turist,e	turi,ste
netaknut,om	ne,tak,nu,tom
čist,om	či,stom
srednjovekovni,m	srednj,ovekov,nim
ilirski,m	i,li,r,skim
ruševina,ma	ru,šev,inama
kampanja,ma	kamp,an,jama
posvećivanje,m	posve,ći,vanjem
prihod,a	prihoda
napor,i	napo,ri
prihod,i	prihodi
procvat,a	proc,vata
sektor,a	sektora
finansijski,h	finansijskih
poziv,e	pozi,ve
njegov,u	njegovu
parlament,a	parlamenta
red,om	redom
pad,a	pada
dostavljen,u	dostav,ljenu
miroljubiv,om	mi,ro,ljubi,vom
miting,u	mi,tin,gu
đurčanj,a	đur,čanja
veče,ri	večeri
rojters,a	roj,ter,sa
ulica,ma	ulicama
voden,e	vod,ene
top,ove	to,pove
demonstrant,e	demon,stran,te
fides,-a	fi,de,s,-,a
njihov,im	njihovim
poziv,ima	pozi,vima
izbor,i	izbori
ekonomski,m	ekonomskim
program,u	programu
novinar,e	novinare
automobil,i	automob,ili
bdp,-a	bdp,-,a
porez,e	pore,ze
planiran,e	plani,rane
zdravstven,om	zdravstven,om
visok,om	visokom
sud,om	sudom
zločin,e	zločine
nato,-u	nato,-,u
glavni,h	glavnih
prioritet,a	prioriteta
tribunal,om	tribu,na,lom
mksj,-u	m,k,s,j,-,u
počinjen,e	počin,jene
devedeseti,h	devedesetih
njegov,i	njegovi
hag,u	ha,gu
visok,a	visoka
general,a	genera,la
njihov,e	njihove
sukob,u	sukobu
bosanski,h	bosan,skih
rim,u	ri,mu
zid,a	zida
miloševićev,ih	miloše,vi,će,vih
sledbenik,a	sled,b,enika
konsenzus,om	konsenzu,som
boris,a	bori,sa
tadić,a	ta,dića
vojislav,a	vo,ji,slava
niš,u	nišu
jug,u	jugu
izveštaj,e	izveštaje
tribunal,a	tribu,na,la
beograd,a	beograda
mogućnost,i	mogućnosti
dogovor,a	dogovora
srebrn,i	sre,br,ni
predmet,i	predmeti
japan,u	jap,anu
kup,a	kupa
uzastopni,m	uzastop,nim
izložba,ma	izlož,bama
zamenik,a	zameni,ka
srebrn,ih	sre,br,nih
antički,h	an,tičkih
predmet,a	predmeta
predmet,e	predmete
pronađen,e	prona,đene
poslednji,h	poslednjih
svetski,h	svetskih
šampion,a	šampiona
četvorostruk,a	četvoro,stru,ka
problem,a	problema
koleno,m	ko,len,om
jirgen,a	j,ir,gena
melcer,a	mel,ce,ra
turnir,a	turni,ra
mec,u	me,cu
mons,u	mon,su
aleks,a	alek,sa
bogdanović,a	bogdan,ovića
balkanski,h	balkan,skih
pisac,a	pisa,ca
dobitnik,a	dobi,tnika
nobelov,e	n,obel,ove
andrić,a	andri,ća
travnik,u	t,rav,niku
čitanje,m	či,tanjem
travnik,a	t,rav,nika
film,a	filma
dokument,a	dokumenta
rukopis,i	ruko,pisi
magazin,i	maga,z,ini
vek,a	veka
mlad,e	mlade
pirot,u	piro,tu
inspirisan,a	inspiri,sana
poslanik,u	poslani,ku
statut,u	statu,tu
radikal,a	radikala
irački,m	i,ra,čkim
novinar,em	novina,rem
džordž,a	džor,dža
buš,a	bu,ša
obrazloženje,m	obraz,ložen,jem
režim,u	režimu
medij,i	mediji
cirkus,om	cirku,som
glasnogovornik,a	glas,no,govornika
poslanik,e	poslani,ke
jeftin,i	jeftini
poen,i	po,eni
poslovnik,a	poslov,nika
kraj,u	kraju
rajko,m	raj,kom
kuzmanović,em	k,uz,man,ovićem
način,e	načine
cilj,u	cilju
skor,ije	sko,rije
škundrić,em	š,kun,dri,ćem
neki,h	nekih
skor,u	sko,ru
podeljen,im	pode,ljenim
grad,ovima	gradovima
obećanje,m	obeć,anjem
mera,ma	merama
težnja,ma	tež,njama
đorge,m	đor,ge,m
ivanov,im	ivan,ovim
odnos,i	odnosi
brazil,om	braz,ilom
iran,a	i,rana
hrabrost,i	hrabro,sti
dubok,e	dubo,ke
zabrinutost,i	zabrinu,tosti
stons,i	sto,n,si
mik,u	mi,ku
džeger,u	dže,ger,u
stons,ima	sto,n,sima
mešovit,ih	mešovi,tih
par,ova	parova
vimbldon,u	v,im,bl,do,nu
gitarist,om	gi,tari,stom
kit,om	ki,tom
ričards,om	ri,čar,d,som
sklop,u	sklopu
stons,a	sto,n,sa
obožavalac,a	obo,ž,av,alaca
koncert,u	koncer,tu
sat,a	sata
trabzon,u	tra,b,zonu
luk,om	lu,kom
fudbal,u	fudbalu
vimbldon,a	v,im,bl,dona
par,ovima	par,ovima
jonas,a	j,ona,sa
bjorkman,a	b,jor,k,mana
poraz,a	poraza
sliven,a	sli,vena
umetnik,a	umetnika
mok,-a	mo,k,-,a
siti,ju	si,tiju
akropolj,a	a,kro,polja
arhitekt,a	arhitek,ta
njen,oj	njenoj
mermer,e	mer,mere
partenon,a	par,ten,ona
projektovan,e	projekt,ovane
sanduk,e	san,du,ke
punjen,e	pu,njene
velik,og	velikog
arhitekt,om	arhitek,tom
muzej,a	muzeja
bernar,om	ber,na,rom
čumi,jem	č,umi,jem
ambasador,a	ambasad,ora
artikal,a	arti,kala
vremenski,h	vremenskih
uslov,a	uslova
uslov,ima	uslovima
vlažnost,i	vla,žnosti
antikvitet,a	anti,kvi,teta
metal,a	metala
sanduk,a	san,du,ka
nadzor,om	nad,zorom
inženjer,a	inžen,jera
kostas,a	ko,sta,sa
zambas,a	za,m,ba,sa
objekt,a	objekta
odabran,i	odabra,ni
nagrađivan,i	nagra,đi,vani
bernar,a	ber,na,ra
čumi,ja	ču,mija
njujork,u	njujor,ku
staklen,a	stakl,ena
stub,ovima	stub,ovima
kvadratni,h	kvadra,tnih
transport,a	transporta
sadržaj,a	sadržaja
antikvitet,i	anti,kvi,teti
privremen,i	privremen,i
velik,a	velika
međusprat,u	među,spra,tu
staklen,om	sta,k,len,om
njihov,u	njihovu
partenon,u	par,ten,onu
vek,ova	ve,kova
hram,a	hra,ma
akropolj,u	a,kro,polju
odnos,u	odnosu
stub,ove	stub,ove
savršenost,i	savr,šenosti
moj,ih	mojih
svojstven,o	svoj,stveno
postepen,o	postepeno
mermer,i	mer,meri
muzej,u	muze,ju
odgovarajući,h	odgovarajućih
njihov,og	njihovog
impresioniran,i	impre,si,oni,rani
mermer,a	mer,mera
ime,nom	imenom
elginov,i	el,gin,ovi
skulpturni,h	skulp,tur,nih
mermer,ima	mer,me,rima
friz,a	fri,za
uzeti,h	uze,tih
zabat,a	za,ba,ta
erehtejon,a	e,re,hte,jona
fragment,e	frag,mente
nov,om	novom
liven,im	li,venim
zamena,ma	zamen,ama
kontinuitet,a	kontinui,teta
njen,og	njenog
mandat,a	mandata
organizacija,ma	organizacijama
bugarski,h	bugar,skih
