jeremić,a	jere,mi,ća
jesen,i	je,seni
međuvreme,nu	međuvremenu
koji,h	kojih
zagreb,u	zagrebu
razgovor,i	raz,govori
jul,a	jula
sve,mu	svemu
pregovor,i	pre,govori
pristup,u	pristupu
korak,e	korake
neki,m	nekim
jun,u	junu
poziv,u	pozi,vu
saobraćaj,a	saobraćaja
razlog,a	razloga
brisel,u	briselu
postavljen,e	postavljene
cilj,eve	ciljeve
zagreb,a	zagre,ba
velik,e	velike
premijer,om	premije,rom
ivo,m	i,vom
sanader,om	sa,na,de,rom
uslov,om	uslovom
razgovor,u	razgovoru
ren,om	re,nom
kriterijum,a	kriterijuma
poziv,a	poziva
spor,u	spo,ru
samit,a	sami,ta
makedonski,m	makedo,nskim
branko,m	bran,kom
crvenkovski,m	cr,ven,kov,skim
gruevski,m	gru,ev,skim
sekretar,om	sekreta,rom
nato,-om	nato,-,om
jap,om	ja,pom
hop,om	ho,pom
shefer,om	she,fe,rom
pomenut,i	pomenuti
nepromenjen,i	neprome,njeni
domen,u	domenu
sekretar,a	sekretara
lider,ima	li,de,rima
izaslanik,om	iza,sla,nikom
un,-a	un,-,a
metju,om	me,t,ju,om
nimic,om	ni,mi,com
vođa,ma	vođa,ma
nimicov,ih	ni,mi,co,vih
predlog,a	predloga
prevremen,e	pre,vremene
izbor,e	izbore
vikend,a	vikenda
makedonski,h	makedo,nskih
spor,a	spora
okrilje,m	okri,ljem
obostran,o	obo,stra,no
prihvatljiv,o	prihvat,ljivo
osumnjičen,ih	osumnji,čenih
sukob,e	suko,be
napad,om	napa,dom
unutrašnji,h	unutrašnjih
osumnjičen,e	osumnji,čene
neidentifikovan,a	ne,ide,nti,fikova,na
povezanost,i	povezanosti
teroristički,m	teroristi,čkim
akcija,ma	akcijama
sarajevski,m	sara,jev,skim
kvart,ovima	kvar,tovima
eksploziv,a	eksplo,ziva
mart,u	martu
hapšenje,m	hap,šenjem
dokaz,a	dokaza
martovski,m	mar,tov,skim
uređaj,e	uređa,je
crtež,e	crte,že
priručnik,e	priru,čni,ke
uređaj,a	uređaja
detonator,e	de,tona,tore
osumnjičen,i	osumnji,čeni
povezan,i	povezani
pokret,om	pokre,tom
navodni,h	navod,nih
mirsad,om	mi,rsa,dom
bektašević,em	be,kta,ševi,ćem
teroristički,h	teroristi,čkih
vatren,og	vatre,nog
jusuf,a	ju,su,fa
barčić,a	bar,čića
ko,ga	koga
katolički,h	katoli,čkih
razvoj,u	razvoju
izvoznik,e	izvo,zni,ke
kilometar,a	kilometara
koman,a	ko,mana
problem,u	problemu
deklarisan,u	dekla,risa,nu
kosovski,h	kosov,skih
izvoznik,a	izvoz,nika
izvoz,a	izvoza
proizvod,i	proizvodi
skup,lji	skup,lji
direktor,a	direktora
nedeklarisan,a	nede,kla,risa,na
sumnjiv,a	sumnji,va
potpun,o	potpuno
carinski,h	cari,nskih
proizvod,e	proizvode
njihov,om	njihovom
reciprocitet,a	reci,pro,ci,teta
reciprocitet,om	reci,pro,ci,tetom
pomoć,i	pomoći
grčki,h	gr,čkih
brod,ovima	bro,dovima
aktivist,a	aktivi,sta
velik,im	velikim
korak,om	kora,kom
kapetan,a	kape,tana
brod,ova	bro,dova
nov,u	novu
osnov,u	osnovu
život,e	živote
putnik,a	putnika
novinar,a	novinara
pritvor,u	pritvo,ru
konvoj,a	kon,vo,ja
maj,u	maju
turski,h	tur,skih
grčki,m	gr,čkim
stran,im	stranim
zastava,ma	za,stava,ma
protest,e	prote,ste
propalestinski,h	propa,le,sti,nskih
izrael,a	izra,ela
problem,e	probleme
film,ova	filmova
džejms,om	dže,jm,som
bond,om	bon,dom
izrael,om	izra,e,lom
odnos,a	odnosa
damask,a	da,ma,ska
norma,ma	norma,ma
bliskoistočni,h	blisko,isto,čnih
mirovni,h	miro,vnih
posrednik,a	posred,nika
kanal,a	kanala
uspostavljen,m	uspo,stavljen,m
kopnen,im	ko,pne,nim
prelaz,ima	prelazi,ma
kompromis,a	kompromi,sa
korišćenje,m	korišćenjem
postojeći,h	postojećih
prihvatljiv,i	prihvat,ljivi
izrael,u	izra,elu
jul,u	julu
dvostruk,i	dvostru,ki
proces,u	procesu
dan,a	dana
naš,e	naše
prijem,u	prijemu
član,ove	članove
kor,a	kora
jak,om	ja,kom
vest,i	vesti
brisel,a	brise,la
zelen,o	zele,no
promena,ma	promenama
reformski,h	re,form,skih
članica,ma	čla,nicama
lider,i	lideri
jedinstven,o	jedinstve,no
porast,u	pora,stu
pregovarački,h	pregovara,čkih
poen,a	poena
pokušaj,a	pokušaja
predstojeći,m	predstoje,ćim
forum,a	foruma
unesko,-a	u,ne,sko,-,a
pokrovitelj,i	pokro,vite,lji
avgust,a	avgusta
grad,u	gradu
ohrid,u	o,h,ri,du
savest,i	sa,vesti
predsednik,e	predsedni,ke
nevladin,ih	nevla,di,nih
ekspert,ima	eksperti,ma
jednakost,i	jednako,sti
ljudski,h	ljudskih
radni,h	radnih
skup,u	skupu
demokratski,h	demokra,tskih
cilj,eva	ciljeva
pun,og	pu,nog
različit,ih	različitih
etnički,h	etni,čkih
pripadnost,i	pripadnosti
civilizovan,u	ci,vili,zova,nu
održiv,a	održi,va
april,u	aprilu
visok,ih	visokih
zvaničnik,a	zvani,čnika
nivo,u	nivou
naš,im	našim
oslabljen,u	osla,blje,nu
profesor,ima	profeso,rima
studentski,m	student,skim
kampus,e	ka,mpu,se
protest,a	protesta
osiguran,u	osigu,ranu
bulevar,om	bu,leva,rom
ratifikovan,og	rati,fikova,nog
univerzitet,ima	univerzi,tetima
škola,ma	školama
stepen,a	stepena
sistem,u	sistemu
visok,og	visokog
velik,u	veliku
status,a	statusa
azil,a	a,zila
nezabeležen,a	neza,bele,žena
glas,ovima	gla,so,vima
konsenzus,u	konsenzu,su
moguć,ih	mogućih
naslednik,a	nasle,dnika
jorgos,a	j,or,go,sa
papandreu,a	pa,pa,nd,re,u,a
istorijski,m	istorij,skim
osnažen,a	osna,žena
vođstvo,m	vođ,stvom
skori,jim	sko,riji,m
neuspeh,om	neuspe,hom
mesec,ima	mesecima
nekompetentnost,i	nekom,pe,te,ntnosti
neefektivnost,i	nee,fe,ktivnosti
širok,om	širo,kom
obrazovni,h	obrazovnih
akademski,h	akadem,skih
protest,i	prote,sti
povezan,e	povezane
levičarski,m	le,vi,čar,skim
stranka,ma	stran,kama
mlad,ih	mladih
rektor,a	re,ktora
otvoren,i	otvoreni
aristotelov,og	a,risto,te,lo,vog
univerzitet,a	univerziteta
solun,u	solu,nu
prav,o	pravo
prolongiran,o	pro,lon,gi,rano
univerzitet,i	univerzi,teti
garantor,i	garan,tori
legalitet,a	lega,liteta
ustavnost,i	ustav,nosti
urban,i	urba,ni
britanski,h	britan,skih
diplomac,a	diploma,ca
setimes,u	se,time,su
predavački,h	preda,va,čkih
london,a	lon,dona
univerzitetski,h	univerzitet,skih
sistem,e	sisteme
razborit,a	raz,bo,rita
zdrav,og	zdra,vog
razum,a	raz,uma
ran,ih	ra,nih
osamdeseti,h	osamdesetih
novoizabran,a	novo,i,za,brana
glasački,h	glasa,čkih
listić,a	listi,ća
povezan,ih	povezanih
izbor,u	izboru
studentski,h	student,skih
obavezan,o	obaveza,no
vreme,na	vremena
udžbenik,a	udžbenika
internet,u	internetu
spojen,e	spo,jene
faza,ma	fazama
narkotik,a	narko,tika
balkan,u	balkanu
pokušaj,u	pokušaju
krijumčar,ima	kri,jum,čarima
dolar,a	dolara
krijumčar,a	kri,jum,čara
analitičar,i	analiti,čari
naj,nov,ija	najnovi,ja
zdravstven,e	zdravstvene
krijumčar,i	kri,jum,čari
sporazum,e	spo,razume
izveštaj,u	izveštaju
put,eve	puteve
podatak,a	podataka
američki,h	američkih
avganistanski,h	a,v,ga,nista,nskih
izvor,a	izvora
predložen,i	predlože,ni
januar,a	januara
albanski,m	al,ban,skim
vlast,ima	vlasti,ma
heroin,a	hero,ina
prvi,h	prvih
promet,a	prometa
poznat,i	poznati
mediteranski,m	medi,te,ran,skim
promet,om	prome,tom
izveštaj,ima	izvešta,jima
granica,ma	granicama
svoj,u	svoju
ivanov,u	i,vano,vu
sopstven,u	sopstvenu
tranzit,a	tranzi,ta
evropski,m	evropskim
partnerski,h	partner,skih
određen,a	određena
napad,a	napada
aktivist,i	aktivi,sti
nevladin,e	nevla,dine
star,u	sta,ru
rad,om	radom
planiran,og	plani,ranog
metar,a	metara
volonter,i	vo,lon,teri
dug,a	duga
starost,i	starosti
koji,m	kojim
aliani,ja	a,lia,nija
aliani,ju	a,lia,niju
grad,a	grada
savet,u	save,tu
unesko,-u	u,ne,sko,-,u
abdulah,u	ab,dula,hu
gul,u	gu,lu
njegov,ih	njegovih
rimski,h	ri,mskih
čvrst,u	čvr,stu
predviđen,om	predvi,đenom
plan,u	planu
otkriven,ih	otkri,venih
komad,i	koma,di
metal,i	meta,li
staklen,i	stakle,ni
artefakt,i	arte,fa,kti
period,a	perioda
objekat,a	objekata
izvor,ima	izvorima
potapanje,m	po,ta,pa,njem
turist,a	turista
bog,a	boga
vek,u	veku
imperator,a	impera,tora
hadrijan,a	ha,d,rija,na
lekovit,og	lekovi,tog
izvorski,m	izvor,skim
voda,ma	vodama
lekovit,om	lekovi,tom
stepen,i	stepeni
celzijus,a	c,el,ziju,sa
ukrašen,e	ukra,šene
čist,im	či,stim
mermerni,m	mer,mer,nim
kamen,om	kame,nom
zaštićen,im	zašti,ćenim
trg,ovi	trgovi
slučaj,evi	slučajevi
važnost,i	važnosti
običaj,i	običa,ji
pripadnik,a	pripadnika
brz,a	br,za
različit,i	različiti
javnost,i	javnosti
slučaj,eva	slučajeva
tužen,e	tu,žene
strah,a	straha
maltretiranje,m	mal,treti,ranjem
pošten,a	po,štena
rom,a	roma
ljudski,m	ljudskim
žrtva,ma	žrtvama
sektor,u	sektoru
ombudsman,om	om,bu,d,sma,nom
telesni,h	tele,snih
grub,o	gru,bo
potpun,og	potpunog
ombudsman,a	om,bu,ds,mana
iđet,a	i,đe,ta
memeti,ja	me,meti,ja
delevoa,a	de,le,vo,aa
kazneni,h	kazne,nih
tok,u	toku
policajac,a	policaja,ca
navrat,a	navrata
prekid,a	prekida
posmatrač,a	posmatra,ča
izbeglica,ma	izbegli,cama
tbilisi,ja	t,bili,sija
posmatrač,e	posmatra,če
odmetnut,u	od,met,nu,tu
čas,a	časa
sukob,a	sukoba
šef,ovi	še,fo,vi
uobičajen,e	uobičaje,ne
rus,i	rusi
položaj,e	položa,je
odmetnut,oj	od,met,nu,toj
velik,om	velikom
sam,u	samu
sam,e	same
prizor,i	pri,zori
ruski,h	ruskih
tenk,ova	ten,kova
oebs,-a	oe,bs,-,a
teren,u	terenu
ko,me	kome
moguć,oj	moguć,oj
šef,ova	še,fo,va
avinjon,u	a,vi,njo,nu
istočnoevropski,h	isto,čno,evro,pskih
njen,ih	njenih
implikacija,ma	im,plika,cijama
savez,a	saveza
plan,a	plana
napad,e	napa,de
siromaštvo,m	siroma,štvom
grk,a	g,rka
vest,ima	ve,stima
nivo,a	nivoa
slom,a	slo,ma
kontinent,u	kontine,ntu
uticaj,u	uticaju
rumun,a	rumu,na
njihov,a	njihova
ispitanik,a	ispitanika
smer,a	smera
bazel,a	ba,ze,la
farmaceutski,h	farmaceut,skih
proizvod,a	proizvoda
zemun,u	zemu,nu
projekt,u	projektu
forum,u	forumu
margina,ma	margi,nama
savet,a	saveta
gas,a	gasa
basen,a	ba,sena
detalj,e	detalje
centar,a	centara
efikasnost,i	efikasnosti
zaposlen,e	zaposlene
industrijski,m	industrij,skim
sektor,ima	se,ktorima
profit,a	profita
porez,i	pore,zi
odmor,e	od,more
vladin,ih	vladi,nih
vaterpolist,i	va,ter,po,listi
neporažen,i	nepo,ra,ženi
emanuil,a	e,manu,ila
milonakis,a	milo,na,ki,sa
peking,u	pe,kin,gu
gol,a	gola
stil,u	stilu
protivnik,a	protivnika
šeref,a	še,re,fa
eroglu,a	e,ro,glu,a
kilogram,a	kilograma
čeh,a	če,ha
marek,a	ma,re,ka
švec,a	š,ve,ca
ženski,m	že,nskim
eliminacija,ma	eli,mina,cijama
nozadze,a	no,zad,ze,a
vreme,nom	vremenom
tenis,u	teni,su
kong,a	kon,ga
tvrd,oj	tvrdo,j
gol,ova	go,lova
teg,ova	te,gova
muški,h	mu,ških
mešovit,im	mešo,vi,tim
stil,om	sti,lom
takmičar,a	takmi,čara
rvač,i	rva,či
meč,u	meču
slatkiš,a	sla,tki,ša
mraz,a	m,ra,za
pregled,u	pregledu
sport,a	sporta
njegov,om	njegovom
film,u	filmu
mraz,om	m,ra,zom
vilenjak,om	vi,le,nja,kom
svoj,a	svoja
trg,a	tr,ga
karusel,a	ka,ru,se,la
velik,oj	velikoj
trg,u	tr,gu
klub,a	kluba
albanski,h	alba,nskih
ličnost,i	ličnosti
umetnost,i	umetnosti
orden,om	or,de,nom
majstor,a	maj,stora
fuad,a	fu,a,da
muzurović,a	mu,zu,ro,vića
selektor,a	sele,ktora
blaž,a	bla,ža
slišković,a	s,li,ško,vića
loš,eg	lošeg
kvalifikacija,ma	kvali,fika,cijama
savremen,e	savremene
rad,ova	radova
slikar,a	slika,ra
tematski,h	tema,tskih
ciklus,a	ciklusa
pariz,u	parizu
kfor,-a	k,for,-,a
srpski,m	srpskim
demonstrant,ima	demonstra,ntima
etnički,m	etni,čkim
vojnik,e	voj,nike
podeljen,og	pode,ljenog
naseljen,ih	nase,ljenih
sukob,i	suko,bi
izveštaj,a	izveštaja
granata,ma	gra,nata,ma
unmik,-a	un,mi,k,-,a
sever,u	severu
kfor,-u	k,for,-,u
snaga,ma	snaga,ma
sud,a	suda
srpski,h	srpskih
demonstrant,i	demonstra,nti
razgovor,e	razgovo,re
kompleks,u	komplek,su
nered,a	nere,da
februar,a	februara
un,-u	un,-,u
kosovski,m	kosov,skim
napet,a	nape,ta
pun,oj	pu,noj
pripadnik,e	pripa,dnike
prepad,u	pre,pa,du
okupljen,e	o,kup,ljene
povređen,i	povre,đeni
policijski,h	polici,jskih
kompleks,a	kompleksa
poljski,h	polj,skih
izvor,i	izvori
šef,a	šefa
pokušaj,i	pokuša,ji
nadležnost,i	nadležnosti
slobodan,om	slobo,da,nom
samardžić,em	sa,ma,rd,ži,ćem
isključiv,u	isključi,vu
napad,u	napadu
red,a	reda
mikalis,a	mi,ka,lisa
krisohoides,a	kri,so,ho,ide,sa
objekt,u	objektu
saradnik,a	saradnika
sat,i	sati
sprat,u	spra,tu
slatkiš,ima	sla,tki,šima
uvijen,i	u,vije,ni
ruka,ma	rukama
dim,a	di,ma
vasilakisov,om	va,sila,ki,so,vom
prijatelj,a	prijatelja
dragocen,og	drago,ce,nog
incident,i	incide,nti
grad,ove	gradove
bbc,-u	bbc,-,u
prst,om	pr,stom
lista,ma	lista,ma
terorist,a	terori,sta
moguć,eg	moguće,g
militant,ima	mili,ta,ntima
grk,e	g,rke
norlmalnost,i	nor,l,ma,lnosti
naš,oj	našoj
sused,ima	suse,dima
turist,e	turi,ste
netaknut,om	ne,tak,nu,tom
čist,om	či,stom
srednjovekovni,m	srednjo,veko,vnim
ilirski,m	ili,r,skim
ruševina,ma	ru,še,vina,ma
kampanja,ma	kampa,njama
posvećivanje,m	posve,ći,vanjem
prihod,a	prihoda
napor,i	napo,ri
prihod,i	prihodi
procvat,a	proc,va,ta
sektor,a	sektora
finansijski,h	finansijskih
poziv,e	pozi,ve
njegov,u	njegovu
parlament,a	parlamenta
red,om	redom
pad,a	pada
dostavljen,u	do,stavlje,nu
miroljubiv,om	miro,ljubi,vom
miting,u	mi,tin,gu
đurčanj,a	đur,ča,nja
veče,ri	večeri
rojters,a	roj,ter,sa
ulica,ma	ulicama
voden,e	vode,ne
top,ove	to,pove
demonstrant,e	demon,st,ran,te
fides,-a	fi,de,s,-,a
njihov,im	njihovim
poziv,ima	pozi,vima
izbor,i	izbori
ekonomski,m	ekonomskim
program,u	programu
novinar,e	novinare
automobil,i	auto,mo,bili
bdp,-a	bdp,-,a
porez,e	pore,ze
planiran,e	plani,rane
zdravstven,om	zdravstve,nom
visok,om	visokom
sud,om	sudom
zločin,e	zločine
nato,-u	nato,-,u
glavni,h	glavnih
prioritet,a	prioriteta
tribunal,om	tri,bu,na,lom
mksj,-u	m,ks,j,-,u
počinjen,e	poči,njene
devedeseti,h	devedesetih
njegov,i	njegovi
hag,u	ha,gu
visok,a	visoka
general,a	genera,la
njihov,e	njihove
sukob,u	sukobu
bosanski,h	bo,sa,nskih
rim,u	ri,mu
zid,a	zida
miloševićev,ih	miloše,viće,vih
sledbenik,a	sle,dbe,nika
konsenzus,om	konsenzu,som
boris,a	bo,risa
tadić,a	ta,di,ća
vojislav,a	voji,slava
niš,u	nišu
jug,u	jugu
izveštaj,e	izveštaje
tribunal,a	tri,bu,nala
beograd,a	beograda
mogućnost,i	mogućnosti
dogovor,a	dogovora
srebrn,i	sre,b,rni
predmet,i	predmeti
japan,u	japa,nu
kup,a	kupa
uzastopni,m	uzastop,nim
izložba,ma	izlo,žbama
zamenik,a	zame,nika
srebrn,ih	sre,b,rnih
antički,h	anti,čkih
predmet,a	predmeta
predmet,e	predmete
pronađen,e	prona,đene
poslednji,h	poslednjih
svetski,h	svetskih
šampion,a	šampiona
četvorostruk,a	četvoro,stru,ka
problem,a	problema
koleno,m	kole,nom
jirgen,a	j,ir,gena
melcer,a	me,l,ce,ra
turnir,a	turni,ra
mec,u	me,cu
mons,u	mon,su
aleks,a	aleksa
bogdanović,a	bog,da,novića
balkanski,h	balka,nskih
pisac,a	pisa,ca
dobitnik,a	dobi,tnika
nobelov,e	no,be,love
andrić,a	and,rića
travnik,u	tra,vni,ku
čitanje,m	čita,njem
travnik,a	tra,vnika
film,a	filma
dokument,a	dokumenta
rukopis,i	ruko,pisi
magazin,i	maga,zi,ni
vek,a	veka
mlad,e	mlade
pirot,u	piro,tu
inspirisan,a	inspi,risa,na
poslanik,u	posla,niku
statut,u	statu,tu
radikal,a	radikala
irački,m	ira,čkim
novinar,em	novina,rem
džordž,a	dž,or,dža
buš,a	bu,ša
obrazloženje,m	obrazlože,njem
režim,u	režimu
medij,i	mediji
cirkus,om	cirku,som
glasnogovornik,a	gla,sno,govor,nika
poslanik,e	posla,nike
jeftin,i	jefti,ni
poen,i	poe,ni
poslovnik,a	poslo,vnika
kraj,u	kraju
rajko,m	ra,j,kom
kuzmanović,em	ku,zma,novi,ćem
način,e	načine
cilj,u	cilju
skor,ije	sko,rije
škundrić,em	š,ku,nd,ri,ćem
neki,h	nekih
skor,u	sko,ru
podeljen,im	pode,ljenim
grad,ovima	gradovima
obećanje,m	obeća,njem
mera,ma	merama
težnja,ma	te,žnja,ma
đorge,m	đ,or,ge,m
ivanov,im	i,vano,vim
odnos,i	odnosi
brazil,om	bra,zi,lom
iran,a	i,rana
hrabrost,i	hrabro,sti
dubok,e	dubo,ke
zabrinutost,i	zabrinu,tosti
stons,i	sto,nsi
mik,u	mi,ku
džeger,u	dže,ge,ru
stons,ima	sto,nsi,ma
mešovit,ih	mešo,vi,tih
par,ova	parova
vimbldon,u	vi,mb,l,do,nu
gitarist,om	gi,tari,stom
kit,om	ki,tom
ričards,om	ri,čar,d,som
sklop,u	sklopu
stons,a	s,ton,sa
obožavalac,a	obo,ža,vala,ca
koncert,u	konce,rtu
sat,a	sata
trabzon,u	tra,b,zo,nu
luk,om	lu,kom
fudbal,u	fudbalu
vimbldon,a	vi,mb,l,dona
par,ovima	paro,vima
jonas,a	j,ona,sa
bjorkman,a	b,j,ork,mana
poraz,a	poraza
sliven,a	s,li,vena
umetnik,a	umetnika
mok,-a	mo,k,-,a
siti,ju	si,tiju
akropolj,a	a,kro,po,lja
arhitekt,a	arhite,kta
njen,oj	njenoj
mermer,e	mer,mere
partenon,a	par,te,no,na
projektovan,e	projekto,vane
sanduk,e	san,du,ke
punjen,e	pu,njene
velik,og	velikog
arhitekt,om	arhite,ktom
muzej,a	muzeja
bernar,om	ber,na,rom
čumi,jem	ču,mi,jem
ambasador,a	ambasa,dora
artikal,a	artika,la
vremenski,h	vremenskih
uslov,a	uslova
uslov,ima	uslovima
vlažnost,i	vla,žnosti
antikvitet,a	anti,kvi,teta
metal,a	metala
sanduk,a	san,du,ka
nadzor,om	nad,zorom
inženjer,a	inženje,ra
kostas,a	ko,sta,sa
zambas,a	za,mba,sa
objekt,a	objekta
odabran,i	odabra,ni
nagrađivan,i	nagra,đi,vani
bernar,a	ber,nara
čumi,ja	ču,mija
njujork,u	njujor,ku
staklen,a	stakle,na
stub,ovima	stu,bovima
kvadratni,h	kvadra,tnih
transport,a	transporta
sadržaj,a	sadržaja
antikvitet,i	anti,kvi,teti
privremen,i	privreme,ni
velik,a	velika
međusprat,u	među,s,pra,tu
staklen,om	stakle,nom
njihov,u	njihovu
partenon,u	par,te,no,nu
vek,ova	ve,kova
hram,a	h,rama
akropolj,u	a,kro,po,lju
odnos,u	odnosu
stub,ove	stu,bove
savršenost,i	savrše,nosti
moj,ih	mojih
svojstven,o	svoj,stveno
postepen,o	postepeno
mermer,i	mer,meri
muzej,u	muze,ju
odgovarajući,h	odgovarajućih
njihov,og	njihovog
impresioniran,i	im,pre,sio,ni,rani
mermer,a	mer,mera
ime,nom	imenom
elginov,i	el,gi,novi
skulpturni,h	skul,ptu,rnih
mermer,ima	mer,me,rima
friz,a	fri,za
uzeti,h	uze,tih
zabat,a	zaba,ta
erehtejon,a	e,re,hte,jona
fragment,e	frag,mente
nov,om	novom
liven,im	li,ve,nim
zamena,ma	zamena,ma
